mean,sd,2.5%,25%,50%,75%,97.5%,Rhat,n.eff,overlap0,f,parameter,model
0.0786024563376386,0.00592610171986932,0.0671722996482351,0.0746275954526939,0.0783364687253905,0.082117568243115,0.0913316514454299,1.00020975584686,750,0,1,p.seen.alive,2_pop_lat
28.2920793750618,17.1295323617748,5.76111901109946,15.2449300446557,24.6693251169053,38.592500568102,69.179204502026,1.00444374767423,429,0,1,base.obs,2_pop_lat
-3.92437233277625,0.224717485227611,-4.40327575641961,-4.06757640366994,-3.91852571428859,-3.76874881657755,-3.50319455537808,1.00155245242042,750,0,1,base.fail,2_pop_lat
0.380761050664111,0.084254192988305,0.221875901549223,0.324408971928494,0.380116232567735,0.436458894682464,0.552899413602314,1.00755831025809,237,0,1,base.recover,2_pop_lat
-0.22620578038655,0.0974136865683567,-0.421742815994263,-0.288056191793799,-0.223971119176846,-0.160498757586261,-0.0310837406758999,1.00054225541265,750,0,0.997333333333333,beta2,2_pop_lat
0.513270895938725,0.17972219932027,0.14748925773086,0.399714962443463,0.527277106594499,0.626787651592179,0.852245691228753,1.00095801257299,693,0,0.996,beta3,2_pop_lat
-0.0214715372903677,0.00254553429253695,-0.0264779555459907,-0.0231879273136533,-0.0213234830649909,-0.0198264788152133,-0.01655365681883,1.00726028980205,272,0,1,beta4,2_pop_lat
0.997994154006002,0.00094279309372035,0.995534112570158,0.997580201053955,0.998222005948485,0.998668713376096,0.999166076622189,1.0508011464732,50,0,1,mean.phi,2_pop_lat
6.30633264684585,0.434735744999287,5.40683532213022,6.02164929738818,6.33049012406606,6.62028764931602,7.08854431769093,1.0552382776787,40,0,1,lp.mean,2_pop_lat
-0.783922145524406,0.246618150479961,-1.24137039318948,-0.948602246661921,-0.789792126290524,-0.616215374417029,-0.281326302731312,1.00326607561433,531,0,0.998666666666667,b.phi.mig,2_pop_lat
-0.324700597295751,0.253626311287165,-0.846153353114091,-0.491240239240575,-0.31203031370795,-0.1559286066073,0.158789021936591,1.0041391411092,750,1,0.902666666666667,b.phi.capt,2_pop_lat
0.887026194034699,0.332100631533794,0.244215413128225,0.660411434832672,0.878376877845206,1.10574436672503,1.54620125107522,0.999205028144684,750,0,1,b.phi.pop,2_pop_lat
-1.6718634842052,0.21524523822942,-2.10601671525833,-1.80928092059153,-1.67627917437209,-1.52533298876765,-1.28759063705153,1.01282944658347,350,0,1,b.phi.age,2_pop_lat
-0.0549673510678503,0.0111563105442555,-0.0762002395369071,-0.0620675555079317,-0.0558043843112482,-0.0480846109841936,-0.031795073841737,1.03857489056137,57,0,1,b.phi.lat,2_pop_lat
6299.67679821043,2.83402356662663,6295.5017638338,6297.61589997277,6299.33962505746,6301.15455950009,6306.23662824943,1.00729454274483,397,0,1,deviance,2_pop_lat
