Population,Origin,Season,age,surv,lcl,ucl
central and east,wild,north of 25°N,54,0.989265370042311,0.981401573941167,0.99413628192987
central and east,captive,north of 25°N,54,0.986056719238172,0.974311475666274,0.99222016777441
western Europe,wild,north of 25°N,54,0.994505792012285,0.989324052481886,0.997365565403794
western Europe,captive,north of 25°N,54,0.992808568097907,0.983351450075273,0.997003040669771
central and east,wild,south of 25°N,54,0.994508998443975,0.989581278142471,0.997257788182499
central and east,captive,south of 25°N,54,0.992790854306174,0.985823258808769,0.996437861742175
western Europe,wild,south of 25°N,54,0.997187709738728,0.994075701412852,0.998797310542214
western Europe,captive,south of 25°N,54,0.996311260444463,0.990986259596432,0.998610480757922
central and east,wild,migration,54,0.976062516238286,0.955715455395375,0.987991581529974
central and east,captive,migration,54,0.968977545569232,0.939349873060907,0.984399572678234
western Europe,wild,migration,54,0.987703709867515,0.973861452198759,0.994607531389222
western Europe,captive,migration,54,0.983878014752567,0.959808397790782,0.993815745338977
central and east,wild,north of 25°N,1,0.948594946483867,0.918532683316253,0.968204770090164
central and east,captive,north of 25°N,1,0.934015104499387,0.893181272790222,0.958276432087051
western Europe,wild,north of 25°N,1,0.973065845564663,0.950802921723571,0.98634703638212
western Europe,captive,north of 25°N,1,0.964825330356238,0.923968898063779,0.984147402149567
central and east,wild,migration,1,0.890961267686588,0.823664629504558,0.936487776311325
central and east,captive,migration,1,0.8616042979883,0.77140276691138,0.91916803606953
western Europe,wild,migration,1,0.941373855458222,0.887252400009002,0.971911448109255
western Europe,captive,migration,1,0.924485743479706,0.834889328526293,0.968145697524115
central and east,wild,north of 25°N,4,0.952849698222392,0.926038502095797,0.970562955369057
central and east,captive,north of 25°N,4,0.939422753480239,0.902360925429973,0.961336677183324
western Europe,wild,north of 25°N,4,0.975317482944757,0.955288774009261,0.987410046384967
western Europe,captive,north of 25°N,4,0.967775641877747,0.931079867624331,0.9853869746865
central and east,wild,migration,4,0.899646236227514,0.837171671907155,0.941037560342363
central and east,captive,migration,4,0.872299407290526,0.788142284208958,0.92508423743566
western Europe,wild,migration,4,0.946227865430518,0.896437094369843,0.974103016113569
western Europe,captive,migration,4,0.930631127556334,0.848097308367775,0.970669222653566
central and east,wild,north of 25°N,7,0.956765847274749,0.932606068182522,0.972803098886691
central and east,captive,north of 25°N,7,0.944435467083244,0.91054637911478,0.964298163000843
western Europe,wild,north of 25°N,7,0.977428173220033,0.959386950037511,0.988375043571793
western Europe,captive,north of 25°N,7,0.97050647469899,0.937508635554033,0.986612462890063
central and east,wild,migration,7,0.907616835094595,0.850478992327485,0.945592557398628
central and east,captive,migration,7,0.882177314844402,0.803889507570648,0.930947019406091
western Europe,wild,migration,7,0.950620782291335,0.905370229713465,0.976075903112836
western Europe,captive,migration,7,0.936298072956908,0.859772832451853,0.973039796882538
central and east,wild,north of 25°N,10,0.960425265441562,0.938584306579593,0.974898044905999
central and east,captive,north of 25°N,10,0.949044181210458,0.918151099606332,0.96698148218756
western Europe,wild,north of 25°N,10,0.979382329439026,0.963001501544714,0.989288636715034
western Europe,captive,north of 25°N,10,0.973012332182017,0.943020636951879,0.987769870293189
central and east,wild,migration,10,0.914973096638916,0.862405313305276,0.949658902756134
central and east,captive,migration,10,0.891342563617263,0.818560841984287,0.936413571409119
western Europe,wild,migration,10,0.95473480700376,0.91332063839336,0.978003980478243
western Europe,captive,migration,10,0.941531240737431,0.870683710825851,0.975250368403816
central and east,wild,north of 25°N,13,0.963740733266124,0.944057691479818,0.97685121821897
central and east,captive,north of 25°N,13,0.953280888072198,0.924919427421469,0.969612645848066
western Europe,wild,north of 25°N,13,0.981163751673386,0.96617800564956,0.990126759123873
western Europe,captive,north of 25°N,13,0.975305095106182,0.947840858956463,0.988835142736137
central and east,wild,migration,13,0.921823208095306,0.873392895291839,0.953544772081075
central and east,captive,migration,13,0.899832706655157,0.83186447800888,0.941485922797414
western Europe,wild,migration,13,0.958495780064157,0.920481467509423,0.979742761291658
western Europe,captive,migration,13,0.946381357467195,0.881242915350538,0.977353296931824
central and east,wild,north of 25°N,16,0.9668365732731,0.948939481124557,0.978742994275154
central and east,captive,north of 25°N,16,0.957129169282144,0.931417572646325,0.972078791989719
western Europe,wild,north of 25°N,16,0.982770997128879,0.969258463085286,0.990909237850306
western Europe,captive,north of 25°N,16,0.977395931158377,0.952474913420774,0.989778332594223
central and east,wild,migration,16,0.928071761727573,0.883819118633432,0.957350183075247
central and east,captive,migration,16,0.907786962306315,0.844434548386236,0.946168725329427
western Europe,wild,migration,16,0.961994784212697,0.926940958348269,0.981317825746697
western Europe,captive,migration,16,0.950795087970863,0.890788476688797,0.979224018525579
central and east,wild,north of 25°N,19,0.96965850495908,0.953242841401683,0.98053747826153
central and east,captive,north of 25°N,19,0.960678947390639,0.936938423078114,0.974473086779991
western Europe,wild,north of 25°N,19,0.98427171854136,0.971915301371515,0.991664599535283
western Europe,captive,north of 25°N,19,0.979340961981404,0.956480334640828,0.990658837095874
central and east,wild,south of 25°N,19,0.984214833583087,0.969806707779842,0.992265402943127
central and east,captive,south of 25°N,19,0.979328942399702,0.959915979985167,0.989777135529884
