Population,surv,lcl,ucl,Ageclass,Origin,stage
Caucasus/Middle East,0.991766600069274,0.986274381921499,0.994843551561578,adult,wild,stationary
Caucasus/Middle East,0.987954189733162,0.979319092350477,0.992872046621197,adult,captive,stationary
Italy/Balkans,0.991766600069274,0.986274381921499,0.994843551561578,adult,wild,stationary
Italy/Balkans,0.987954189733162,0.979319092350477,0.992872046621197,adult,captive,stationary
western Europe,0.997341225928298,0.995507571482913,0.998468825208088,adult,wild,stationary
western Europe,0.99610936538934,0.99294355543153,0.997909158409892,adult,captive,stationary
Caucasus/Middle East,0.985447217530163,0.97268129640683,0.992357333326668,adult,wild,migrating
Caucasus/Middle East,0.9792399431758,0.958021253143068,0.989351377543006,adult,captive,migrating
Italy/Balkans,0.985447217530163,0.97268129640683,0.992357333326668,adult,wild,migrating
Italy/Balkans,0.9792399431758,0.958021253143068,0.989351377543006,adult,captive,migrating
western Europe,0.995319549425913,0.990889237510092,0.997565964762913,adult,wild,migrating
western Europe,0.993166626910685,0.985754906452057,0.996714097702758,adult,captive,migrating
Caucasus/Middle East,0.954875018183129,0.930019325914608,0.970840963024731,juvenile,wild,stationary
Caucasus/Middle East,0.935712915989165,0.896296950624655,0.96087518726993,juvenile,captive,stationary
Italy/Balkans,0.954875018183129,0.930019325914608,0.970840963024731,juvenile,wild,stationary
Italy/Balkans,0.935712915989165,0.896296950624655,0.96087518726993,juvenile,captive,stationary
western Europe,0.98510283875755,0.97551311210478,0.9912818015477,juvenile,wild,stationary
western Europe,0.978373095321967,0.96294479706785,0.987570062966494,juvenile,captive,stationary
Caucasus/Middle East,0.923883580855776,0.86568602127204,0.957121382627239,juvenile,wild,migrating
Caucasus/Middle East,0.892646428860426,0.805310559841954,0.940857594448026,juvenile,captive,migrating
Italy/Balkans,0.895679039508888,0.809698608481808,0.943810994483918,juvenile,wild,migrating
Italy/Balkans,0.852460937729533,0.758345020754178,0.920848834422208,juvenile,captive,migrating
western Europe,0.973937644964097,0.95018403525436,0.986414415941099,juvenile,wild,migrating
western Europe,0.96277170752456,0.92425717234226,0.981575271527723,juvenile,captive,migrating
