"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter"
0.793447681120388,0.0417671356831669,0.704735987535548,0.766389847935973,0.795772829562628,0.822514072222384,0.868906875321578,1.00064365359379,2602,0,1,"phi[1]"
0.941677604457513,0.0394609462786643,0.844413419297914,0.921612749718067,0.950106017481713,0.970812491578837,0.992725315398073,1.00010426864115,11250,0,1,"phi[2]"
0.9624990612152,0.0140476216024877,0.930298631321442,0.954218139449715,0.964130352037578,0.972636591500994,0.98475894720289,1.00012620363025,9249,0,1,"phi[3]"
0.984733816117775,0.0107234990725424,0.957847441396331,0.979609906422982,0.987158778526783,0.992521811005277,0.99810523831532,1.00036757187723,11250,0,1,"phi[4]"
0.985422437893071,0.0144908600924976,0.946235570775882,0.979875832056298,0.989787524886554,0.995688300563737,0.999508455309254,1.00202197757634,7464,0,1,"phi[5]"
0.980624389080215,0.0134520709602063,0.946628391433937,0.974058827143292,0.983686729203717,0.990561557581288,0.997532865271665,1.00006589578982,11250,0,1,"phi[6]"
0.983491787287067,0.0162965774998905,0.940900492333583,0.976906382873451,0.988372334547277,0.995252123455151,0.999464075770909,1.00028193122194,8458,0,1,"phi[7]"
0.830698150952131,0.0154461703137125,0.799627324167424,0.820566447354126,0.830632824447017,0.841342590742439,0.8606998307827,1.00039980537633,5183,0,1,"p.obs"
0.361857540406304,0.274685892326075,0.0108400820367849,0.123793870020404,0.30431755452221,0.559364276292196,0.942611231796012,1.00032749865675,4350,0,1,"p.seen.alive"
0.310783948216166,0.0124128773051268,0.286918915730799,0.302319476027624,0.310653205781655,0.319391156809558,0.334647381249993,1.00053010526754,3105,0,1,"p.found.dead"
0.0029297989274723,0.00343086597690356,5.72100056152616e-05,0.000710211511258757,0.00181687614988668,0.00385412861537127,0.0122499698803772,1.00098719045937,2534,0,1,"tag.fail"
2431.82837872948,7.52880494254838,2411.69128729978,2430.74985109319,2433.89830240526,2435.46909769596,2439.88249053104,1.0025699351249,4179,0,1,"deviance"
