study.name,species,tag,id,id.tag,sex,age.at.deployment,captive.raised,rehabilitated,start.date,end.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,how.fate.determined,cause.of.death,comments
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,171362,Akaga,Akaga_171362,unknown,2cal_year,captive,no,16/05/2018 00:15,31/05/2019 05:29,41.59421539,25.64131165,12.43244839,40.23460007,Bulgaria,Ethiopia,380.2182986,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182254,Alimerah,Alimerah_182254,,2cal_year,wild,no,25/01/2019 07:55,31/05/2019 01:33,11.67359829,40.97370148,11.78166294,41.03788376,Ethiopia,Ethiopia,125.7344097,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182261,Andi,Andi_182261,male,2cal_year,captive,no,15/05/2019 01:04,31/05/2019 00:05,41.59440231,25.64131165,41.59880447,25.63895416,Bulgaria,Bulgaria,15.95895833,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,171348,Anna,Anna_171348,female,juv,captive,no,10/08/2018 00:53,16/09/2018 00:01,41.63582993,25.85588837,37.23348618,34.8425293,Bulgaria,Turkey,36.96383102,captive,recaptured,exhaustion,"would have died of exhaustion, but recaptured"
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,118154,Aoos,Aoos_118154,female,adult,wild,no,17/04/2015 17:00,29/05/2019 13:00,40.13267,20.54217,39.92,20.3865,Greece,Greece,1502.833333,alive,NA,NA,"tagged in Greece, but bred in Albania"
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,118147,Arda,Arda_118147,unknown,juv,wild,no,13/08/2012 00:41,29/12/2013 02:00,41.644,25.878,10.7955,28.50933,Bulgaria,Sudan,205.0548611,dead,inferred from transmissions,unknown,The bird died on 29.12.2012. Since then it is transmitting from the same location
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182265,Ardi,Ardi_182265,,adult,wild,no,24/01/2019 14:29,31/05/2019 01:05,11.79798126,41.05654526,20.23853874,43.19846344,Ethiopia,Saudi Arabia,126.4417477,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,131250,Asparuh,Asparuh_131250,unknown,juv,wild,no,14/08/2013,09/09/2013,41.62086,25.89908,34.03137,20.696162,Bulgaria,Mediterranean Sea,,dead,inferred from transmissions,drowned,track ends in sea
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,171346,Belgin,Belgin_171346,unknown,juv,wild,no,09/08/2018 01:56,19/09/2018 00:07,41.63591003,25.85634422,36.31967926,30.43362427,Bulgaria,Mediterranean Sea,40.92418981,dead,inferred from transmissions,drowned,track ends in sea
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,130672,Berenice,Berenice_130672,unknown,juv,wild,no,02/08/2013,05/09/2013,39.802314,21.678794,34.450101,23.22607,Greece,Mediterranean Sea,,dead,inferred from transmissions,drowned,track ends in sea
