"X","study.name","species","tag","id","id.tag","sex","age.at.deployment","captive.raised","rehabilitated","start.date","end.date","start.date.adjusted","end.date.adjusted","start.lat","start.long","end.lat","end.long","start.country","end.country","deployment.duration","fate","how.fate.determined","cause.of.death","comments"
1,"Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO","Neophron percnopterus","17020","BatuecasA","BatuecasA_17020","M",">3 adult","N","N","6/15/17 14:48","5/31/19 2:58",NA,NA,41.05353546,-6.663703442,41.05927277,-6.77112484,"Spain","Spain",714.5063426,"alive",NA,NA,NA
2,"Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO","Neophron percnopterus","17022","BatuecasP","BatuecasP_17022","F","<1","N","N","8/1/17 0:02","5/31/19 0:46",NA,NA,41.06285477,-6.766503334,40.83993912,-6.539853096,"Spain","Spain",668.0302199,"alive",NA,NA,"Nonmigratory"
3,"Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO","Neophron percnopterus","17017","Camaces","Camaces_17017","F","<1","N","N","7/31/17 12:29","9/12/17 2:12",NA,NA,41.00911331,-6.743571758,32.09038544,-6.676935196,"Spain","Morocco",42.57115741,"suspected mortality",NA,NA,"Last location close to power line in Morocco not possible to send field team to investigate"
4,"Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO","Neophron percnopterus","17021","Huebra","Huebra_17021","M",">3 adult","N","N","6/15/17 14:57","4/17/19 3:57",NA,NA,41.05710983,-6.660486698,41.02627563,-6.67901659,"Spain","Spain",670.5416088,"verified transmitter failure",NA,NA,NA
5,"Omanvulture","Neophron percnopterus","16095","16095","16095_16095",NA,NA,NA,NA,"1/19/18 10:49","5/31/19 1:23",NA,NA,23.33503151,58.45743179,23.31485748,58.65419006,"Oman","Oman",496.6070949,"alive",NA,NA,NA
6,"Egyptian vultures in Djibouti",NA,"127589","127589","127589_127589",NA,NA,NA,NA,"3/11/13 5:56","2/1/14 1:41",NA,NA,11.7859,42.8239,12.1023,43.2168,"Djibouti","Djibouti",326.8229051,NA,NA,NA,NA
7,"Omanvulture","Neophron percnopterus","171318","171318","171318_171318",NA,NA,NA,NA,"1/20/18 9:48","5/31/19 0:26",NA,NA,23.33926582,58.4492836,27.225214,56.1697464,"Oman","Iran (Islamic Republic of)",495.610081,"alive",NA,NA,NA
8,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","3515","00 White 2013","00 White 2013_3515",NA,"312","Y","N","4/4/14","7-Jul-19",NA,NA,32.752136,35.0134302,34.3754469,38.1383517,"Israel","Israel",1920,"Alive",NA,NA,"Age units are days"
9,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","3516","18 White","18 White_3516",NA,"302","Y","N","22-Apr-14","28-Apr-14",NA,NA,32.7534508,35.0138107,32.3123878,35.1483145,"Israel","Israel",6,"Probably dead","Last location hostile and with good GSM cover, no data for a long period",NA,"Age units are days"
10,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","3517","19 White","19 White_3517",NA,"297","Y","N","22-Apr-14","28-Aug-14",NA,NA,32.7534673,35.0137975,18.1509497,42.0875706,"Israel","Saudi Arabia",128,"Probably dead","Same location for 4 months",NA,"Age units are days"
11,"Neophron percnopterus. GREFA. Spain","Neophron percnopterus","137397","2HN","2HN_137397",NA,NA,NA,NA,"7/20/15 14:00","5/30/19 9:00",NA,NA,40.46833,-3.83983,40.61617,-4.72033,"Spain","Spain",1409.791667,"alive",NA,NA,NA
12,"Neophron percnopterus. GREFA. Spain","Neophron percnopterus","4.85E+10","2HP","2HP_48500703772",NA,NA,NA,NA,"7/25/16 5:08","5/31/19 0:00",NA,NA,40.95475,-4.100033,41.128332,-6.191566,"Spain","Spain",1039.786111,"alive",NA,NA,NA
13,"Neophron percnopterus. GREFA. Spain","Neophron percnopterus","181641","95N","95N_181641",NA,NA,NA,NA,"8/2/18 8:50","5/31/19 4:52",NA,NA,41.53552246,-3.589221716,41.47913361,-3.58197999,"Spain","Spain",301.8347801,"alive",NA,NA,NA
14,"Neophron percnopterus. GREFA. Spain","Neophron percnopterus","6471","95P","95P_6471",NA,NA,NA,NA,"8/6/18 5:00","5/31/19 5:00",NA,NA,41.2050675,-4.8270731,14.9075802,-16.1349591,"Spain","Senegal",297.9997222,"alive",NA,NA,NA
15,"Neophron percnopterus. GREFA. Spain","Neophron percnopterus","5019","95R","95R_5019",NA,NA,NA,NA,"7/26/16 5:00","1/14/18 17:00",NA,NA,42.330439,-7.2841079,15.5337375,-8.0311284,"Spain","Mauritania",537.4996759,NA,NA,NA,NA
