study.name,species,tag,id,id.tag,sex,age.at.deployment,captive.raised,rehabilitated,start.date,end.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,how.fate.determined,cause.of.death,comments
Black Vultures and Turkey Vultures Southeastern USA,Cathartes aura,163,1,1_163,F,adult,N ,N ,6/26/13 14:07,9/1/15 0:12,33.16381,-81.63951,33.2549,-81.72732,United States,United States,796.4199074,alive,"Transmitter active and moving by ""end date""",NA,NA
Black Vultures and Turkey Vultures Southeastern USA,Cathartes aura,178,123,123_178,M,adult,N ,N ,4/23/14 19:44,9/1/15 0:06,33.25997,-81.73826,33.03817,-81.50149,United States,United States,495.1817824,alive,"Transmitter active and moving by ""end date""",NA,NA
Black Vultures and Turkey Vultures Southeastern USA,Cathartes aura,180,13,13_180,F,adult,N ,N ,6/27/13 18:49,12/21/13 0:05,33.22092,-81.5618,31.78454,-81.40393,United States,United States,176.2190278,suspected transmitter failure,"Transmission ceased at a point where the bird was clearly moving along a trajectory. There was no collection of stationary locations to suggest a specific drop point, thus we suspect transmitter failure.",NA,NA
Black Vultures and Turkey Vultures Southeastern USA,Cathartes aura,173,3,3_173,F,adult,N ,N ,6/26/13 14:38,9/1/15 0:05,33.1638,-81.63956,33.17813,-81.64024,United States,United States,796.3930903,alive,"Transmitter active and moving by ""end date""",NA,NA
Black Vultures and Turkey Vultures Southeastern USA,Cathartes aura,171,6,6_171,M,adult,N ,N ,6/17/13 13:19,9/1/15 0:03,33.16323,-81.63931,33.16433,-81.39524,United States,United States,805.4473264,alive,"Transmitter active and moving by ""end date""",NA,NA
Black Vultures and Turkey Vultures Southeastern USA,Cathartes aura,172,60,60_172,M,adult,N ,N ,7/5/13 12:52,9/1/15 0:06,33.16302,-81.64008,33.1701,-81.4227,United States,United States,787.4674653,alive,"Transmitter active and moving by ""end date""",NA,NA
Black Vultures and Turkey Vultures Southeastern USA,Cathartes aura,176,75,75_176,M,adult,N ,N ,7/9/13 15:31,9/1/15 0:00,33.26114,-81.73846,33.38118,-81.85771,United States,United States,783.3529861,alive,"Transmitter active and moving by ""end date""",NA,NA
Black Vultures and Turkey Vultures Southeastern USA,Cathartes aura,166,90,90_166,M,adult,N ,N ,7/30/13 14:34,9/1/15 0:39,33.16219,-81.64264,32.53335,-81.13246,United States,United States,762.4201389,alive,"Transmitter active and moving by ""end date""",NA,NA
Black Vultures and Turkey Vultures Southeastern USA,Cathartes aura,179,91,91_179,M,adult,N ,N ,7/31/13 15:52,9/1/15 0:14,33.16277,-81.64166,33.1856,-81.30504,United States,United States,761.3482407,alive,"Transmitter active and moving by ""end date""",NA,NA
Turkey Vulture Acopian Center USA GPS,Cathartes aura,163484,Airy,Airy_163484,NA,adult,N ,N ,6/6/18 2:00,8/6/18 0:00,47.00317,-124.143,47.349,-124.2845,United States,United States,60.91666667,suspected dead,transmisson from same location over a period of time,unknown,NA
