id.tag.year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
(Np)-201253_201253_2020,0,0,0,0,0,0,1,2,2,0,0,0
00 White 2013_3515_2014,0,0,0,1,1,1,1,1,2,1,1,1
00 White 2013_3515_2015,1,1,1,1,1,1,1,1,1,1,1,1
00 White 2013_3515_2016,1,1,1,2,2,1,1,1,2,1,1,1
00 White 2013_3515_2017,1,1,1,2,1,1,1,1,2,1,1,1
00 White 2013_3515_2018,1,1,2,2,1,1,1,2,1,1,1,1
00 White 2013_3515_2019,1,1,2,1,1,1,1,1,2,1,0,0
18 White_3516_2014,0,0,0,1,0,0,0,0,0,0,0,0
19 White_3517_2014,0,0,0,1,1,1,2,2,0,0,0,0
A02 Green 2013_3514_2014,0,0,0,1,1,1,2,2,1,1,1,1
A02 Green 2013_3514_2015,1,1,1,1,1,1,1,1,1,1,1,1
A02 Green 2013_3514_2016,1,1,1,1,2,1,1,2,1,1,1,1
A02 Green 2013_3514_2017,1,1,1,2,0,0,0,0,0,0,0,0
A17 Green_17113_2017,0,0,0,1,1,1,1,0,0,0,0,0
A25 Green_171087_2017,0,0,0,0,0,0,0,0,0,0,0,1
A25 Green_171087_2018,1,1,1,1,0,0,0,0,0,0,0,0
A26 Green_171080_2017,0,0,0,0,0,0,0,0,0,0,0,1
A26 Green_171080_2018,1,1,1,1,1,1,1,2,2,1,1,0
A26 Green_171080_2019,0,0,0,0,2,1,1,1,2,1,1,1
A26 Green_171080_2020,1,1,1,2,1,1,1,1,2,1,0,0
A46 Green_17112_2017,0,0,0,1,1,1,1,1,1,1,1,1
A46 Green_17112_2018,1,1,1,1,1,0,0,0,0,0,0,0
A47 Green_171082_2017,0,0,0,0,0,0,0,0,0,0,0,2
A47 Green_171082_2018,2,1,1,1,1,1,1,2,0,0,0,0
Agata_119157_2015,0,0,0,0,0,0,0,1,2,0,0,0
Agri_130662_2013,0,0,0,0,0,1,1,1,2,1,1,1
Agri_130662_2014,1,1,2,2,1,1,1,0,0,0,0,0
Akaga_171362_2018,0,0,0,0,1,1,1,2,2,1,1,1
Akaga_171362_2019,1,1,1,1,1,1,1,1,1,1,0,0
Akev I11 Red_190598_2019,0,0,0,0,0,0,1,2,2,0,0,0
Alimerah_182254_2020,1,1,1,1,1,0,0,0,0,0,0,0
Amud H08 Blue_180318_2018,0,0,0,0,0,0,0,1,2,1,1,1
Amud H08 Blue_180318_2019,1,1,2,2,1,1,1,1,2,1,1,1
Amud H08 Blue_180318_2020,1,1,2,1,1,1,1,1,2,1,0,0
Amud_L 2019 I12 Red_190601_2019,0,0,0,0,0,0,1,1,2,2,0,0
Amud_S 2019 I17 Red_190602_2019,0,0,0,0,0,0,1,1,2,2,0,0
Anahita_200640_2020,0,0,0,0,0,0,0,1,2,0,0,0
Andi_182261_2019,0,0,0,0,1,1,1,2,2,2,1,1
Andi_182261_2020,1,1,1,1,1,1,1,1,1,1,0,0
Aneta_48500502206_2015,0,0,0,0,0,0,0,0,2,2,0,0
Anna_171348_2018,0,0,0,0,0,0,0,1,2,0,0,0
Aoos_118154_2015,0,0,0,1,1,1,1,1,2,1,1,1
Aoos_118154_2016,1,1,2,2,1,1,1,1,2,2,1,1
Aoos_118154_2017,1,1,2,2,1,1,1,1,2,1,1,1
Aoos_118154_2018,1,1,2,2,1,1,1,2,2,1,1,1
Aoos_118154_2019,1,1,2,2,1,1,1,2,2,1,1,1
Aoos_118154_2020,1,1,2,1,1,1,1,1,2,2,0,0
Apollo_16093_2017,0,0,0,0,0,0,1,1,2,0,0,0
Aras_118176_2012,0,0,0,0,0,0,0,1,2,1,1,1
Aras_118176_2013,1,1,0,0,0,0,0,0,0,0,0,0
Arda_118147_2012,0,0,0,0,0,0,0,1,2,2,1,1
Arda_118147_2013,1,1,1,0,0,0,0,0,0,0,0,0
Ardahan_210_2013,0,0,0,0,0,1,1,1,2,2,1,1
Ardahan_210_2014,1,1,1,2,1,1,1,1,2,0,0,0
Ardi_182265_2019,2,2,1,1,1,1,1,2,1,1,1,1
Ardi_182265_2020,1,2,1,1,0,0,0,0,0,0,0,0
Armenia2_48500703868_2015,0,0,0,0,0,0,1,1,2,1,0,0
Armenia3_48500704009_2015,0,0,0,0,0,0,1,1,2,2,1,0
Arpacay_118174_2012,0,0,0,0,0,0,0,2,2,0,0,0
Arribas_171068_2019,0,0,0,0,0,0,0,0,2,2,1,1
Arribas_171068_2020,1,1,1,1,1,1,1,1,1,1,0,0
Asparuh_131250_2013,0,0,0,0,0,0,0,1,2,0,0,0
Awash_182257_2019,0,0,0,0,0,0,0,0,0,0,0,1
Awash_182257_2020,1,1,1,1,2,2,2,0,0,0,0,0
Azahar 75657_75657_2007,0,0,0,0,0,0,0,1,2,1,1,1
Azahar 75657_75657_2008,1,1,2,1,1,1,1,1,2,1,1,1
Azahar 75657_75657_2009,1,2,2,1,1,1,1,1,2,1,1,1
Azahar 75657_75657_2010,1,1,2,1,1,1,1,1,2,1,1,1
Azahar 75657_75657_2011,1,1,2,1,1,1,1,1,2,1,1,1
Azahar 75657_75657_2012,1,2,2,1,1,1,1,2,2,1,1,1
Azahar 75657_75657_2013,1,2,2,1,1,1,1,1,2,1,1,0
Barak I33 Red_200643_2020,0,0,0,0,0,1,1,1,2,1,0,0
Baronnies_2019_Imm_wild_OR181635_5T_181635_2019,0,0,0,1,1,1,0,0,0,0,0,0
Baronnies_2019_Imm_wild_OR181635_5T_181635_2020,0,0,0,0,1,1,1,1,2,1,0,0
Basque_2019_Imm_wild_OR171005_PM0_171005_2019,0,0,0,0,0,0,1,1,2,0,0,0
Basque_2019_Imm_wild_OR180110_PC2_180110_2019,0,0,0,0,0,0,1,1,2,2,1,1
Basque_2019_Imm_wild_OR180110_PC2_180110_2020,1,1,1,1,1,1,1,1,1,1,0,0
Basque_2020_Imm_wild_OR180109_PR9_180109_2020,0,0,0,0,0,0,1,1,2,0,0,0
BatuecasA_17020_2017,0,0,0,0,0,1,1,1,2,1,1,1
BatuecasA_17020_2018,1,2,2,1,1,1,1,1,2,1,1,1
BatuecasA_17020_2019,1,2,1,1,1,1,1,1,2,1,1,1
BatuecasA_17020_2020,1,2,2,1,1,1,1,1,2,2,0,0
Beatrice_AF5AF11F_2019,0,0,0,0,0,0,0,1,0,0,0,0
Belgin_171346_2018,0,0,0,0,0,0,0,1,2,0,0,0
Berenice_130672_2013,0,0,0,0,0,0,0,2,2,0,0,0
Bianca_IHB_AF5AF11F_2018,0,0,0,0,0,0,0,1,2,0,0,0
Bibei-2HN_137397_2015,0,0,0,0,0,0,1,1,1,2,1,1
Bibei-2HN_137397_2016,1,1,1,1,1,1,1,1,1,1,1,1
Bibei-2HN_137397_2017,1,1,1,1,1,1,1,1,1,1,1,1
Bibei-2HN_137397_2018,1,1,2,2,1,1,1,1,2,1,1,1
Bibei-2HN_137397_2019,1,1,2,1,1,1,1,1,2,1,1,1
Bibei-2HN_137397_2020,1,1,2,1,1,1,1,1,2,1,0,0
Birba_200140_2020,0,0,0,0,0,0,0,0,1,2,2,0
Blanka_171345_2018,0,0,0,0,0,0,0,1,2,1,0,0
Boris_149505_2015,0,0,0,0,0,0,1,1,2,1,1,1
Boris_149505_2016,1,1,2,1,1,1,1,1,2,2,1,1
Boris_149505_2017,1,1,2,1,1,1,1,1,2,2,1,1
Boris_149505_2018,1,1,2,1,1,1,1,1,2,2,1,1
Boris_149505_2019,1,2,2,1,1,1,1,1,1,2,1,1
Boris_149505_2020,1,1,2,1,1,1,1,1,2,2,0,0
Boyana_171357_2018,0,0,0,0,1,1,1,1,2,2,1,1
Boyana_171357_2019,1,1,1,1,1,2,2,1,1,1,1,1
Boyana_171357_2020,1,1,1,2,2,2,2,1,2,2,0,0
