Seq,id.year,1,2,3,4,5,6,7,8,9,10,11,12
1,00 White 2013_3515_2014.png,0,0,0,1,1,1,1,1,2,1,1,1
2,00 White 2013_3515_2015.png,1,1,1,1,1,1,1,1,1,1,1,1
3,00 White 2013_3515_2016.png,1,1,1,2,2,1,1,1,1,1,1,1
4,00 White 2013_3515_2017.png,1,1,1,2,1,1,1,1,2,1,1,1
5,00 White 2013_3515_2018.png,1,1,1,2,1,1,1,1,2,1,1,1
6,00 White 2013_3515_2019.png,0,0,2,1,1,0,0,0,0,0,0,0
7,1_1_2018.png,1,1,1,1,1,1,1,1,1,0,0,0
8,127589_127589_2013.png,0,0,1,1,1,1,1,1,1,1,1,1
9,127589_127589_2014.png,1,0,0,0,0,0,0,0,0,0,0,0
10,139_2_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
11,143580_3_2015.png,1,1,1,1,1,1,1,1,1,1,1,1
12,143581_4_2015.png,1,1,0,0,0,0,0,0,0,0,0,0
13,16095_16095_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
14,16095_16095_2019.png,1,1,1,1,1,1,1,1,1,1,1,1
15,171318_171318_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
16,171318_171318_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
17,171325_5_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
18,171325_5_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
19,171326_6_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
20,171326_6_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
21,171327_7_2018.png,1,1,1,1,1,1,0,0,0,0,0,0
22,171328_8_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
23,171328_8_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
24,171329_9_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
25,171329_9_2019.png,1,1,1,0,0,0,0,0,0,0,0,0
26,171330_10_2018.png,1,1,1,1,1,1,1,1,1,1,1,1
