"study.name","species","tag","id","id.tag","sex","age.at.deployment","captive.raised","rehabilitated","start.date","end.date","start.lat","start.long","end.lat","end.long","start.country","end.country","deployment.duration","n.locs","fate","how.fate.determined","cause.of.death","death.or.failure.date","comments"
"Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO","Neophron percnopterus",17020,"BatuecasA","BatuecasA_17020",NA,NA,NA,NA,2017-06-15 14:48:52,2019-05-31 02:58:00,41.0535354614258,-6.66370344161987,41.0592727661133,-6.77112483978271,"Spain","Spain",714.506342592593,716,"alive","still transmitting",NA,NA,NA
"Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO","Neophron percnopterus",17022,"BatuecasP","BatuecasP_17022",NA,NA,NA,NA,2017-08-01 00:02:30,2019-05-31 00:46:01,41.0628547668457,-6.76650333404541,40.8399391174316,-6.5398530960083,"Spain","Spain",668.030219907407,668,"alive","still transmitting",NA,NA,NA
"Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO","Neophron percnopterus",17017,"Camaces","Camaces_17017",NA,NA,NA,NA,2017-07-31 12:29:37,2017-09-12 02:12:05,41.0091133117676,-6.74357175827026,32.0903854370117,-6.67693519592285,"Spain","Morocco",42.5711574074074,27,"NA","NA",NA,NA,NA
"Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO","Neophron percnopterus",17021,"Huebra","Huebra_17021",NA,NA,NA,NA,2017-06-15 14:57:25,2019-04-17 03:57:20,41.0571098327637,-6.66048669815063,41.0262756347656,-6.67901659011841,"Spain","Spain",670.541608796296,656,"NA","NA",NA,NA,NA
"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Neophron percnopterus",130662,"Agri","Agri_130662",NA,NA,NA,NA,2013-06-22 01:00:00,2014-07-22 06:35:02,40.08083,43.667,39.834,43.012,"Turkey","Turkey",395.232662037037,325,"NA","NA",NA,NA,NA
"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Neophron percnopterus",118176,"Aras","Aras_118176",NA,NA,NA,NA,2012-08-18 13:00:00,2013-02-05 01:00:00,40.12183,43.5835,9.8985,40.27417,"Turkey","Ethiopia",170.5,164,"NA","NA",NA,NA,NA
"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Neophron percnopterus",210,"Ardahan","Ardahan_210",NA,NA,NA,NA,2013-06-22 01:14:53,2014-09-18 09:14:56,40.07148,43.66676,14.39814,43.5663,"Turkey","Yemen",453.333368055556,451,"NA","NA",NA,NA,NA
"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Neophron percnopterus",48500703868,"Armenia2","Armenia2_48500703868",NA,NA,NA,NA,2015-07-22 05:01:00,2015-10-19 00:01:00,39.491799,46.35705,7.678216,43.102183,"Armenia","Ethiopia",88.7916666666667,90,"NA","NA",NA,NA,NA
"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Neophron percnopterus",48500704009,"Armenia3","Armenia3_48500704009",NA,NA,NA,NA,2015-07-24 00:02:00,2015-11-08 00:01:00,39.5061,46.345799,6.092233,44.763116,"Armenia","Ethiopia",106.999305555556,91,"NA","NA",NA,NA,NA
"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Neophron percnopterus",118174,"Arpacay","Arpacay_118174",NA,NA,NA,NA,2012-08-20 17:00:00,2012-09-27 13:00:00,40.123,43.60117,31.72117,44.4315,"Turkey","Iraq",37.8333333333333,31,"NA","NA",NA,NA,NA
