species,study.name,population,id,tag,id.tag,start.date,end.date,mortality.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,age.at.deployment.months,sex,migrant,captive.raised,rehabilitated,how.fate.determined,cause.of.death,transmitter.make.model,transmitter.attachment.method,transmitter.mass.grams,transmitter.mass.grams.binned,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,start.country.quant,end.country.quant,n.locs,origin,deployment.duration.months,age.at.fate.months,age.at.fate.simple,population.binned,fate.binned,fate.at.annual.stage,comments
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Aoos,118154,Aoos_118154,4/17/15 17:00,10/29/20,10/31/20 0:00,40.13267,20.54217,12.93667,16.08683,Albania,NA,2021.833333,alive,54,F,Y,N,N,active,NA,Microwave satellite,backpack,45,40-48g,0.067401337,1.341666667,Albania,Chad,1210,N,66,120,adult,central & eastern,alive,NA,"tagged in Greece, but bred in Albania"
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Arda,118147,Arda_118147,8/17/12 12:00,12/27/12,12/28/12 0:00,41.64133,25.8815,10.799,28.51017,Bulgaria,Sudan,199.5833333,likely dead,2,unknown,Y,N,N,inferred from transmissions,unknown,Microwave satellite,backpack,45,40-48g,0.119999305,1,Bulgaria,Sudan,129,N,4,6,juvenile,central & eastern,dead,non-breeding,The bird died on 29.12.2012. Since then it is transmitting from the same location
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Asparuh,131250,Asparuh_131250,8/14/13 10:00,9/9/13,9/10/13 0:00,41.6255,25.89517,37.37717,21.8925,Bulgaria,Mediterranean Sea,28.70833333,likely dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,40-48g,1.280957455,1.004166667,Bulgaria,Greece,27,N,0,2,juvenile,central & eastern,dead,fall migration,track ends in sea
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Berenice,130672,Berenice_130672,8/2/13 3:00,9/8/13,9/9/13 12:00,39.8,21.68933,34.2145,23.16867,Greece,Mediterranean Sea,36.95833333,likely dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,40-48g,0.816405146,1.0375,Greece,NA,35,N,1,3,juvenile,central & eastern,dead,fall migration,track ends in sea
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Boris,149505,Boris_149505,7/21/15 4:00,10/30/20,10/31/20 0:00,41.59483,25.64133,10.81733,42.60233,Bulgaria,NA,1927.875,alive,54,M,Y,N,N,active,NA,Microwave satellite,backpack,45,40-48g,0.013024811,1,Bulgaria,Ethiopia,1926,N,63,117,adult,central & eastern,alive,NA,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Castor,135955,Castor_135955,5/14/14 11:00,2/15/16,2/15/16 1:00,40.62333,21.51933,6.76017,42.83233,Greece,Ethiopia,641.5833333,unknown,54,unknown,Y,N,Y,unknown,unknown,Microwave satellite,backpack,45,40-48g,0.01079245,1,Greece,Ethiopia,643,N,21,75,adult,central & eastern,unknown,non-breeding,tagged after found disorientated due to lead poisoning
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Dobromir,118150,Dobromir_118150,8/16/12 18:00,9/24/16,9/24/16 2:00,43.14567,27.63883,14.50783,30.302,Bulgaria,Sudan,1499.333333,likely dead,2,unknown,Y,N,N,inferred from transmissions,unknown,Microwave satellite,backpack,45,40-48g,0.583417938,1,Bulgaria,Sudan,1490,N,49,51,adult,central & eastern,dead,fall migration,probably killed but no evidence could be obtained. Last locations from inside a village
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Elodie,135956,Elodie_135956,9/1/16 10:00,9/12/17,9/13/17 3:00,43.64833,26.0605,15.01317,7.67117,Bulgaria,Niger,375.7083333,confirmed dead,2,F,Y,Y,N,transmitter recovered,shot,Microwave satellite,backpack,45,40-48g,0.011753653,1,Bulgaria,Niger,376,Y,12,14,juvenile,central & eastern,dead,non-breeding,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Heracles,130676,Heracles_130676,8/22/13 7:00,9/13/13,9/14/13 0:00,39.79217,21.55817,36.212,21.18317,Greece,Mediterranean Sea,21.83333333,likely dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,40-48g,0.54068719,1,Greece,NA,23,N,0,2,juvenile,central & eastern,dead,fall migration,track ends in sea
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Ibrahim,131248,Ibrahim_131248,8/2/13 14:00,9/24/13,9/25/13 4:00,41.618,25.6495,34.981,25.241,Bulgaria,NA,52.5,likely transmitter failure,2,unknown,Y,N,N,inferred from transmissions,NA,Microwave satellite,backpack,45,40-48g,0.244064967,1.008333333,Bulgaria,NA,38,N,1,3,juvenile,central & eastern,tx failure,fall migration,Not clear if the bird really died or the transmitter failed. 
