species,study.name,population,id,tag,id.tag,start.date,end.date,mortality.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,age.at.deployment.months,sex,migrant,captive.raised,rehabilitated,how.fate.determined,cause.of.death,transmitter.make.model,transmitter.attachment.method,transmitter.mass.grams,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,start.country.quant,end.country.quant,n.locs,origin,deployment.duration.months,age.at.fate.months,age.at.fate.simple,population.binned,fate.binned,comments
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,00 White 2013,3515,00 White 2013_3515,2014-04-04,2019-05-29,2019-05-30,32.75214,35.01343,34.4060907,38.2296871,Israel,Sudan,2023.312407,confirmed transmitter failure,11,unknown,Y,Y,N,resighted / recaptured,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,0.928608666,2.00000463,Israel,Syrian Arab Republic,1850,Y,61,72,adult,Middle East,tx failure,"Transmitter fell, seen alive June 2020"
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,18 White,3516,18 White_3516,2014-04-22,2014-04-26,2014-04-27,32.75345,35.01381,32.7702775,34.9914223,Israel,Israel,5,unknown,11,unknown,Y,Y,N,unknown,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,0.020109449,1,Israel,Israel,5,Y,0,11,juvenile,Middle East,unknown,NA
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,19 White,3517,19 White_3517,2014-04-22,2014-08-25,2014-08-26,32.75347,35.0138,19.5421079,41.3889553,Israel,Saudi Arabia,127,likely dead,10,unknown,Y,Y,N,inferred from transmissions,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,0.620276005,1,Israel,Saudi Arabia,124,Y,4,14,juvenile,Middle East,dead,NA
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A02 Green 2013,3514,A02 Green 2013_3514,2014-04-04,2017-04-23,2017-04-24,32.7520933,35.0134463,33.2331372,35.5365667,Israel,Israel,1116,unknown,10,unknown,Y,Y,N,unknown,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,0.963723177,1,Israel,Lebanon,1107,Y,36,46,adult,Middle East,unknown,NA
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A17 Green,17113,A17 Green_17113,2017-04-16,2017-07-03,2017-07-04,32.55932,34.93855,32.55893326,34.93917465,Israel,Israel,79.00068287,confirmed dead,23,unknown,Y,Y,N,transmitter recovered,Hit a train when feeding on a dead boer,Ornitela OT-30,legloop,30,0.000557883,1.000002315,Israel,Israel,79,Y,2,25,adult,Middle East,dead,NA
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A25 Green,171087,A25 Green_171087,2017-12-13,2018-04-21,2018-04-22,32.7523,35.01339,32.75220108,35.0137291,Israel,Israel,130.1057292,unknown,21,unknown,Y,Y,N,unknown,NA,Ornitela OT-30,legloop,30,0.002168162,0.999170139,Israel,Israel,130,Y,4,25,adult,Middle East,unknown,NA
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A26 Green,171080,A26 Green_171080,2017-12-13,2019-05-29,2019-05-30,32.75218,35.0134,29.99342155,32.34182358,Israel,Egypt,1051.949502,alive,7,unknown,Y,Y,N,active,NA,Ornitela OT-30,legloop,30,1.500473563,0.997256944,Israel,Egypt,355,Y,17,24,adult,Middle East,alive,NA
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A46 Green,17112,A46 Green_17112,2017-04-16,2018-05-10,2018-05-11,32.55895,34.9392,37.73613739,41.32781982,Israel,Turkey,390.0661458,confirmed dead,24,unknown,Y,Y,N,transmitter recovered,Electrocuted,Ornitela OT-30,legloop,30,0.48546366,0.998334491,Israel,Turkey,390,Y,12,36,adult,Middle East,dead,NA
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A47 Green,171082,A47 Green_171082,2017-12-13,2018-08-23,2018-08-24,32.75226,35.01337,12.97405624,43.71961975,Israel,Yemen,253.9352546,unknown,7,unknown,Y,Y,N,unknown,NA,Ornitela OT-30,legloop,30,1.015137198,1.000331019,Israel,Yemen,254,Y,8,15,juvenile,Middle East,unknown,NA
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Agata,119157,Agata_119157,2015-08-26,2015-08-29,2015-08-30,37.39733,13.36967,37.84917,12.596,Italy,Italy,8,confirmed dead,3,F,Y,Y,N,terminated over water,Drop in the sea,Microwave Solar Argos/GPS PTT,backpack,NA,0.491562866,1,Italy,Italy,4,Y,0,3,juvenile,Balkans & Italy,dead,NA
Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Agri,130662,Agri_130662,2013-06-22,2014-07-15,2014-07-19,40.08083,43.667,39.78467,43.24817,Turkey,Turkey,388.875,likely transmitter failure,54,unknown,Y,N,N,unknown,NA,Microwave 45g Argos/GPS Solar PTTs,backpack,45,0.00013069,3.458333333,Turkey,Turkey,322,N,12,66,adult,Middle East,tx failure,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Akaga,171362,Akaga_171362,2018-05-16,2019-05-30,2019-05-30,41.59422,25.64131,12.42760849,40.24209213,Bulgaria,Ethiopia,531.0727431,unknown,11,unknown,Y,Y,N,NA,NA,Ornitela,backpack,30,0.238178963,1.000638889,Bulgaria,Ethiopia,380,Y,12,23,adult,Balkans & Italy,unknown,NA
Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Akev I11 Red,190598,Akev I11 Red_190598,2019-07-17,2019-09-01,2019-09-03,30.81602287,34.82748795,30.74139977,32.32299805,Israel,Egypt,48.32475694,confirmed dead,2,unknown,Y,N,N,carcass found,Hit electric wire,Ornitela OT-30,legloop,30,0.521024705,1.14971875,Israel,Egypt,38,N,1,3,juvenile,Middle East,dead,"Confirmed dead by collaborators, but the transmitteer was never returned"
Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Amud H08 Blue,180318,Amud H08 Blue_180318,2018-08-20,2019-05-29,2019-05-30,32.88889694,35.49689102,32.89110184,35.50101852,Israel,Sudan,776.9058681,alive,54,unknown,Y,N,Y,active,NA,Ornitela OT-30,legloop,30,0.078998324,0.999672454,Israel,Israel,283,N,9,63,adult,Middle East,alive,"Found not flying, treated for a week at the Is Israel Wildlife Hospital and released. Migrated 2018 and returned to the same area in 2019, seen in a nest with two chicks."
Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Amud_L 2019 I12 Red,190601,Amud_L 2019 I12 Red_190601,2019-07-28,2019-10-03,2020-10-31,32.89109802,35.5013504,18.89858246,41.89468002,Israel,Saudi Arabia,66.94175926,unknown,3,unknown,Y,N,N,,,Ornitela OT-30,legloop,30,1.047315374,0.998891204,Israel,Saudi Arabia,46,N,2,5,juvenile,Middle East,unknown,NA
Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Amud_S 2019 I17 Red,190602,Amud_S 2019 I17 Red_190602,2019-07-28,2019-10-13,2020-10-01,32.89113998,35.50127411,15.99001312,24.38068962,Israel,Sudan,76.98403935,confirmed dead,3,unknown,Y,N,N,carcass found,Caught and trasnferred to rehab but did not make it,Ornitela OT-30,legloop,30,7.82E-05,1.000090278,Israel,Sudan,51,N,2,5,juvenile,Middle East,dead,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Anahita,200640,Anahita_200640,2020-08-06,2020-09-15,2020-09-16,41.61692,25.65063,36.81611252,36.31757355,Bulgaria,Lebanon,84.65621528,confirmed dead,2,unknown,Y,N,N,found alive,Shot,Ornitela,legloop,30,1.433000747,0.998429398,Bulgaria,Turkey,40,N,1,3,juvenile,Balkans & Italy,dead,The bird was shot in Lebanon but found by our partners there and currently is under rehabilitation
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Andi,182261,Andi_182261,2019-05-15,2020-08-26,2020-10-31,41.5944,25.64131,14.46278954,27.01890755,Bulgaria,NA,469.1234722,unknown,11,M,Y,Y,N,NA,NA,Ornitela,backpack,30,0.367542291,0.999744213,Bulgaria,Sudan,376,Y,15,26,adult,Balkans & Italy,unknown,
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Aneta,48500502206,Aneta_48500502206,2015-09-07,2015-09-24,2015-09-24,39.10625,16.89193,36.762,14.844466,Italy,Egypt,25.99930556,confirmed dead,3,F,Y,Y,N,terminated over water,Drop in the sea,Ecotone Saker,backpack,35,0.363247062,1,Italy,Italy,18,Y,0,3,juvenile,Balkans & Italy,dead,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Anna,171348,Anna_171348,2018-08-10,2018-09-14,2018-09-15,41.63583,25.85589,37.0435791,34.6774826,Bulgaria,Turkey,35.96383102,confirmed dead,2,F,Y,Y,N,resighted / recaptured,exhaustion,Ornitela,backpack,30,1.282242571,0.999195602,Bulgaria,Turkey,34,Y,1,3,juvenile,Balkans & Italy,dead,"would have died of exhaustion, but recaptured"
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Aoos,118154,Aoos_118154,2015-04-17,2019-05-26,2019-05-27,40.13267,20.54217,40.023,20.69083,Albania,Albania,2021.833333,alive,54,F,Y,N,N,active,NA,Microwave satellite,backpack,45,1.182820873,5.445833333,Albania,Greece,978,N,49,103,adult,Balkans & Italy,alive,"tagged in Greece, but bred in Albania"
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Apollo,16093,Apollo_16093,2017-07-24,2017-09-26,2017-09-27,40.24659,16.10241,34.53761673,9.782464981,Italy,Algeria,64.23530093,unknown,15,M,Y,Y,N,unknown,NA,Ornitela 2G,backpack,25,0.25023193,1.000833333,Italy,Tunisia,60,Y,2,17,juvenile,Balkans & Italy,unknown,NA
Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Aras,118176,Aras_118176,2012-08-18,2013-02-04,2013-02-04,40.12183,43.5835,10.1725,40.24533,Turkey,Ethiopia,169.5,unknown,26,unknown,Y,N,N,unknown,NA,Microwave 45g Argos/GPS Solar PTTs,backpack,45,0.067342128,1,Turkey,Ethiopia,163,N,5,31,adult,Middle East,unknown,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Arda,118147,Arda_118147,2012-08-17,2012-12-31,2013-01-01,41.64133,25.8815,10.79567,28.50917,Bulgaria,Sudan,199.5833333,likely dead,2,unknown,Y,N,N,inferred from transmissions,unknown,Microwave satellite,backpack,45,0.05390278,1,Bulgaria,Sudan,133,N,4,6,juvenile,Balkans & Italy,dead,The bird died on 29.12.2012. Since then it is transmitting from the same location
Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Ardahan,210,Ardahan_210,2013-06-22,2014-09-16,2014-09-17,40.07148,43.66676,18.66377,41.71488,Turkey,Saudi Arabia,451.9668403,likely transmitter failure,54,unknown,Y,N,N,inferred from transmissions,NA,Microwave 30g GSM,backpack,30,2.281651043,1.000780093,Turkey,Saudi Arabia,449,N,14,68,adult,Middle East,tx failure,GSM transmitter went offline in area previosuly known to loose signal
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,unknown,Ardi,182265,Ardi_182265,2019-01-24,2019-02-09,2019-02-10,11.79798,41.05655,20.48410225,42.82686615,Ethiopia,Saudi Arabia,644.481713,confirmed dead,54,unknown,Y,N,N,carcass found,suspected poisoning,Ornitela,backpack,30,0.929943587,1.000347222,Ethiopia,Saudi Arabia,17,N,0,54,adult,Unknown,dead,"mortality date in 2019, but still transmitting as of Oct 2020?"
Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Armenia2,48500703868,Armenia2_48500703868,2015-07-22,2015-10-18,2015-10-18,39.491799,46.35705,7.746899,43.0665,Armenia,Ethiopia,87.79166667,unknown,25,unknown,Y,N,N,unknown,NA,Ecotone Saker-M 19g Solar GSM,backpack,19,0.439060229,1,Armenia,Ethiopia,89,N,2,27,adult,Middle East,unknown,NA
Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Armenia3,48500704009,Armenia3_48500704009,2015-07-24,2015-11-06,2015-11-07,39.5061,46.345799,6.094516,44.7678,Armenia,Ethiopia,105,unknown,54,unknown,Y,N,N,unknown,NA,Ecotone Saker-M 19g Solar GSM,backpack,19,0.268570708,1.125138889,Armenia,Ethiopia,90,N,3,57,adult,Middle East,unknown,NA
Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Arpacay,118174,Arpacay_118174,2012-08-20,2012-09-25,2012-09-26,40.123,43.60117,33.23983,44.96333,Turkey,Iraq,35.33333333,confirmed dead,26,unknown,Y,N,N,resighted / recaptured,"emaciation on migration, although potentially poisoned or collision. Not entirely sure",Microwave 45g Argos/GPS Solar PTTs,backpack,45,0.788844137,1.1,Turkey,Iraq,29,N,1,27,adult,Middle East,dead,NA
Neophron percnopterus,LIFE_Rupis_EgyptianVultures,western europe,Arribas,171068,Arribas_171068,2019-08-14,2020-10-19,2020-10-19,41.04129,-6.870823,14.72836208,-7.322953224,Portugal,Mali,442.0408102,alive,1,unknown,Y,N,N,active,NA,Ornitela_3G,backpack,25,0.149277606,0.999972222,Spain,Mali,432,N,14,15,juvenile,Western Europe,alive,chick marked in the nest on the ​31.07.2019 Territory Poiares
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Asparuh,131250,Asparuh_131250,2013-08-14,2013-09-09,2013-09-10,41.6255,25.89517,37.37717,21.8925,Bulgaria,NA,28.70833333,confirmed dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,1.280957455,1.004166667,Bulgaria,Greece,27,N,0,2,juvenile,Balkans & Italy,dead,track ends in sea
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,unknown,Awash,182257,Awash_182257,2019-12-09,2020-07-20,2020-07-20,8.90153,39.91187,22.23418808,40.33378601,Ethiopia,Saudi Arabia,305.619838,confirmed dead,6,,Y,N,N,carcass found,Unknown,Ornitela,legloop,30,0.527893276,1.000415509,Ethiopia,Saudi Arabia,225,N,7,13,juvenile,Unknown,dead,"migrated around Red Sea - young bird, so hard to know its population!"
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Azahar 75657,75657,Azahar 75657_75657,2007-08-10,2013-11-08,2013-11-08,40.23383,-0.61467,16.93917,-14.44367,Spain,Mauritania,2281.916667,confirmed dead,54,F,Y,N,N,carcass found,unknown,solar-powered GPS Microwave telemetry ,backpack,45,0.26853963,1.025,Spain,Mauritania,1932,N,74,128,adult,Western Europe,dead,NA
Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Barak I33 Red,200643,Barak I33 Red_200643,2020-07-01,2020-10-30,2020-10-31,30.3999691,35.09963226,13.92298698,27.25384903,Israel,Sudan,120.643206,alive,1,unknown,Y,N,N,active,,Ornitela OT-30,legloop,30,1.350682838,4.905324074,Israel,Sudan,73,N,3,4,juvenile,Middle East,alive,NA
