species,study.name,population,population.binned,migrant,id,start.date,end.date,mortality.date,age.at.deployment.month,deployment.duration,deployment.duartion.month,age.at.fate.month,age.at.fate,age.at.fate.simple,tag,id.tag,start.country,end.country,fate.old,fate.annual.stage,fate.final,fate.final.binned,how.fate.determined.clean,cause.of.death,cause.of.death.simple,death.anthro,sex,age.at.deployment,age.at.deployment.clean,origin,rehabilitated,n.locs,start.lat,start.long,end.lat,end.long,data.owner.proofed,how.fate.determined,comments,lat.mort,long.mort
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Asparuh,8/4/13 12:06,9/12/13 3:00,9/10/13 0:00,2,38.62083333,1.287361111,3.287361111,juvenile,juvenile,131250,Asparuh_131250,Bulgaria,NA,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,drowned,drowned,n,unknown,juv,juvenile,wild,N,32,41.6,25.985,33.7705,20.83933,y,ceased over sea,track ends in sea,37.37717,21.8925
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Berenice,8/2/13 3:00,9/9/13 12:00,9/9/13 12:00,2,38.375,1.279166667,3.279166667,juvenile,juvenile,130672,Berenice_130672,Greece,NA,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,drowned,drowned,n,unknown,juv,juvenile,wild,N,37,39.8,21.68933,33.83567,23.2085,y,ceased over sea,track ends in sea,33.83567,23.2085
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Heracles,8/22/13 7:00,9/13/13 3:00,9/10/13 0:00,2,21.83333333,0.727777778,2.727777778,juvenile,juvenile,130676,Heracles_130676,Greece,NA,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,drowned,drowned,n,unknown,juv,juvenile,wild,N,23,39.79217,21.55817,36.212,21.18317,y,ceased over sea,track ends in sea,36.90367,21.88883
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Ikaros,8/12/12 19:00,9/11/12 6:00,9/7/12 0:00,2,29.45833333,0.981944444,2.981944444,juvenile,juvenile,118145,Ikaros_118145,Greece,NA,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,drowned,drowned,n,unknown,juv,juvenile,wild,N,26,39.80383,21.68783,33.834,22.25767,y,ceased over sea,track ends in sea,35.2265,26.26983
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Macedonia,8/10/11 5:00,9/18/11 5:00,9/17/11 0:00,2,39,1.3,3.3,juvenile,juvenile,61952,Macedonia_61952,The former Yugoslav Republic of Macedonia,NA,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,drowned,drowned,n,unknown,juv,juvenile,wild,N,36,41.18317,21.717,33.55417,22.33083,y,ceased over sea,track ends in sea,40.5305,23.20483
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Red Cliff,8/28/13 15:00,9/21/13 2:00,9/21/13 2:00,2,23.45833333,0.781944444,2.781944444,juvenile,juvenile,130673,Red Cliff_130673,Albania,NA,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,drowned,drowned,n,unknown,juv,juvenile,wild,N,22,40.10867,20.08083,36.49417,22.364,y,ceased over sea,track ends in sea,36.49417,22.364
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Lomets,8/26/16 12:00,9/14/16 2:00,9/14/16 2:00,2,18.58333333,0.619444444,2.619444444,juvenile,juvenile,118149,Lomets_118149,Bulgaria,Cyprus,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,drowned,drowned,n,M,juv,juvenile,captive,N,20,43.648,26.05967,34.9825,32.51567,y,ceased over sea,Track ends in sea. Captive-bred from Vienna Zoo; originates from Turkish population,34.9825,32.51567
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Odiseas,9/11/12 14:00,9/16/12 10:00,9/16/12 10:00,3,4.833333333,0.161111111,3.161111111,juvenile,juvenile,118149,Odiseas_118149,Greece,Greece,confirmed dead,breeding,confirmed dead,dead,carcass found,exhaustion,exhaustion,n,unknown,juv,juvenile,wild,Y,6,41.10467,26.24133,41.09317,26.24183,y,carcass retrieved,Found dead near Dadia; This individual was rescued before tagging; Probable reason of death - bad physical condition,41.09317,26.24183
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Anna,8/10/18 0:53,9/15/18 0:01,9/15/18 0:01,2,35.96383102,1.198794367,3.198794367,juvenile,juvenile,171348,Anna_171348,Bulgaria,Turkey,confirmed dead,fall mig.,confirmed dead,dead,resighted / recaptured,exhaustion,exhaustion,n,F,juv,juvenile,captive,N,35,41.63582993,25.85588837,37.2335434,34.84251404,y,recaptured,"would have died of exhaustion, but recaptured",37.04358,34.67748
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Zikmund,8/10/18 2:49,9/11/18 0:19,9/11/18 0:19,2,31.89597222,1.063199074,3.063199074,juvenile,juvenile,171349,Zikmund_171349,Bulgaria,Greece,confirmed dead,fall mig.,confirmed dead,dead,resighted / recaptured,human imprinting,human imprinting,NA,F,juv,juvenile,captive,N,27,41.63608551,25.85622025,40.96373749,25.64482498,y,recaptured,would have died due to too strong affinity to humans,41.64567,25.87895
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Aoos,4/17/15 17:00,5/27/19 8:17,5/27/19 8:17,54,1500.637303,50.02124343,104.0212434,adult,adult,118154,Aoos_118154,Albania,Albania,alive,NA,alive,alive,active,NA,NA,NA,F,ad,adult,wild,N,1159,40.13267,20.54217,40.13586,20.5388,y,still transmitting,"tagged in Greece, but bred in Albania",40.023,20.69083
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Boris,7/21/15 4:00,5/30/19 4:00,5/30/19 4:00,54,1409,46.96666667,100.9666667,adult,adult,149505,Boris_149505,Bulgaria,Bulgaria,alive,NA,alive,alive,active,NA,NA,NA,M,ad,adult,wild,N,1410,41.59483,25.64133,41.61667,25.65183,y,still transmitting,NA,41.61667,25.65183
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Ertale,1/26/19 9:05,5/30/19 0:32,5/30/19 0:32,54,123.6433333,4.121444443,58.12144444,adult,adult,182252,Ertale_182252,Ethiopia,Turkey,alive,NA,alive,alive,active,NA,NA,NA,unknown,ad,adult,wild,N,125,11.54074192,40.81601715,39.50958633,32.15328979,y,still transmitting,"tagged in Horn of Africa. Population determination based on where they migrated to. For birds that did not migrate, left as HoA",39.22865,31.83261
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Iliaz,8/30/12 6:00,5/30/19 12:00,5/30/19 12:00,2,2464.25,82.14166667,84.14166667,adult,adult,118153,Iliaz_118153,Bulgaria,Bulgaria,alive,NA,alive,alive,active,NA,NA,NA,unknown,juv,juvenile,wild,N,2448,41.44,25.56833,41.2745,25.19317,y,still transmitting,NA,41.2745,25.19317
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Jenny,7/30/15 10:00,5/28/19 2:00,5/28/19 2:00,54,1397.666667,46.5888889,100.5888889,adult,adult,149507,Jenny_149507,Bulgaria,Bulgaria,alive,NA,alive,alive,active,NA,NA,NA,F,ad,adult,wild,N,1391,41.58367,25.65033,41.59167,25.44517,y,still transmitting,NA,41.59167,25.44517
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Akaga,5/16/18 0:15,5/30/19 6:19,5/30/19 6:19,11,379.2530556,12.64176852,23.64176852,immature,adult,171362,Akaga_171362,Bulgaria,Ethiopia,alive,NA,alive,alive,active,NA,NA,NA,unknown,2nd yr,immature,captive,N,380,41.59421539,25.64131165,12.42877293,40.21025467,y,still transmitting,NA,12.42939,40.24082
