study.name,species,tag,id,id.tag,sex,age.at.deployment,age.at.deployment.standard,captive.raised,rehabilitated,start.date,end.date,start.date.adjusted,end.date.adjusted,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,n.locs,fate,how.fate.determined,cause.of.death,comments
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182261,Andi,Andi_182261,M,2cal_year,2cal_year,Y,N,5/15/19 1:04,5/15/19 1:04,5/15/19 0:00,5/31/19 0:00,41.59440231,25.64131165,41.59880447,25.63895416,Bulgaria,Bulgaria,15.95895833,17,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,171360,Panteley,Panteley_171360,M,2cal_year,2,Y,N,5/16/18 0:28,5/16/18 0:28,5/16/18 0:00,5/31/19 0:00,41.59446335,25.64143372,41.62717056,23.73114967,Bulgaria,Bulgaria,380.0332407,380,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182253,Fer,Fer_182253,NA,2cal_year,2,Y,N,5/15/19 1:04,5/15/19 1:04,5/15/19 0:00,5/31/19 0:00,41.59442902,25.64137077,41.59849548,25.63868523,Bulgaria,Bulgaria,15.95561343,17,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,149507,Jenny,Jenny_149507,F,adult,Ad,N,N,7/30/15 10:00,7/30/15 10:00,7/30/15 0:00,5/29/19 0:00,41.58367,25.65033,41.5865,25.447,Bulgaria,Bulgaria,1398.75,1391,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,149505,Boris,Boris_149505,M,adult,Ad,N,N,7/21/15 4:00,7/21/15 4:00,7/21/15 0:00,5/31/19 0:00,41.59483,25.64133,41.6195,25.6535,Bulgaria,Bulgaria,1409.916667,1411,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,171357,Boyana,Boyana_171357,F,2cal_year,2,Y,N,5/16/18 0:16,5/16/18 0:16,5/16/18 0:00,5/31/19 0:00,41.59446335,25.64115906,13.18139172,17.19741821,Bulgaria,Chad,380.1205787,381,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182258,Chuupa,Chuupa_182258,NA,2cal_year,2,N,N,1/20/19 9:16,1/20/19 9:16,1/20/19 0:00,5/24/19 0:00,8.856550217,39.91941833,11.15259647,42.3186264,Ethiopia,Djibouti,123.9343634,85,alive,NA,NA,NA
Egyptian Vulture Reintroduction Israel,Neophron percnopterus,171086,H42 Green,H42 Green_171086,NA,570,2,Y,N,12/13/17 4:06,12/13/17 4:06,NA,NA,32.75216293,35.01342392,30.50692558,34.20275116,Israel,Egypt,533.9227431,428,alive,NA,NA,Age units are days
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,171362,Akaga,Akaga_171362,NA,2cal_year,2,Y,N,5/16/18 0:15,5/16/18 0:15,5/16/18 0:00,5/31/19 0:00,41.59421539,25.64131165,12.43244839,40.23460007,Bulgaria,Ethiopia,380.2182986,381,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,182266,Qero,Qero_182266,M,2cal_year,2,N,N,1/22/19 12:00,1/22/19 12:00,1/22/19 0:00,5/31/19 0:00,8.905138016,39.77139664,10.79285336,40.67681122,Ethiopia,Ethiopia,128.5670255,130,alive,NA,NA,NA
