species,study.name,id,tag,id.tag,fate,how.fate.determined.clean,how.fate.determined,comments,sex,age.at.deployment,captive.raised,rehabilitated,n.locs,start.date,end.date,start.lat,start.long,end.lat,end.long,deployment.duration,cause.of.death,start.country,end.country,age.at.deployment.month,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,mean.battery.charge.percent.last10fixes
Neophron percnopterus,Egyptian vultures Dagestan2,Malysh,116,Malysh_116,likely dead,static transmission,static transmission for >10 days,NA,unknown,unknown,N,N,69,7/23/17 8:18,10/22/17 9:58,42.98465,47.18038,21.26675,40.70254,91.06944444,NA,Russia,Saudi Arabia,NA,0.0119632,1.097013889,NA
Neophron percnopterus,McGrady.Meyburg,80,13,80_13,likely transmitter failure,abrupt termination,"transmission ceased abruptly while bird was moving, increasing time bewteen fixes",gps ceased 04 Oct 2017,unknown,unknown,N,N,456,1/21/16 12:19,10/3/17 22:58,23.334163,58.4669,22.378585,59.342792,621.44375,NA,Oman,Oman,NA,0.357591922,5.148611111,NA
Neophron percnopterus,Egyptian vultures Dagestan2,Sarygush,117,Sarygush_117,likely dead,static transmission,static transmission for >10 days,NA,unknown,unknown,N,N,47,7/23/17 8:18,9/29/17 11:13,42.98449,47.18051,34.69167,44.03076,68.12152778,NA,Russia,Iraq,NA,0.870760056,1.739444444,NA
Neophron percnopterus,Egyptian vultures Dagestan2,Kapchug,115,Kapchug_115,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,unknown,N,N,31,7/23/17 10:37,9/25/17 2:59,42.98421,47.18025,38.96566,48.78752,63.68194444,NA,Russia,Azerbaijan,NA,0.559050955,1.005763889,NA
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,9FC,5782,9FC_5782,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,unknown,N,N,52,7/20/17 5:00,9/15/17 5:00,40.482207,-4.1674682,32.65646,-4.6789209,56.99965278,NA,Spain,Morocco,NA,1.277458956,0.999930556,NA
Neophron percnopterus,McGrady.Meyburg,81,14,81_14,likely dead,static transmission,static transmission for 7 days,possible mortality / dropped tx,unknown,unknown,N,N,37,1/19/16 10:25,2/24/16 3:09,23.339907,58.459848,23.529493,58.495088,35.69722222,NA,Oman,Oman,NA,0.009232149,1.000277778,NA
Neophron percnopterus,McGrady.Meyburg,143580,3,143580_3,confirmed dead,carcass found,confirmed electrocuted,Confirmed electrocution 13 Dec 2015,unknown,unknown,N,N,330,1/9/15 9:57,12/12/15 2:02,23.3449,58.4553,23.3782,58.6527,336.6701852,NA,Oman,Oman,NA,0.068354108,0.997971065,NA
Neophron percnopterus,McGrady.Meyburg,143581,4,143581_4,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,abrupt loss of transmission 04 Feb 2015,unknown,unknown,N,N,25,1/10/15 7:11,2/3/15 2:37,23.3448,58.455,23.0327,58.6193,23.80922454,NA,Oman,Oman,NA,0.18044035,1.009930556,NA
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,2HN,137397,2HN_137397,alive,active,still transmitting,NA,unknown,unknown,N,N,1353,7/20/15 14:00,5/30/19 9:00,40.46833,-3.83983,40.61617,-4.72033,1409.791667,NA,Spain,Spain,NA,0.137041656,0.977453704,NA
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,95P,6471,95P_6471,alive,active,still transmitting,NA,unknown,unknown,N,N,294,8/6/18 5:00,5/30/19 5:00,41.2050675,-4.8270731,14.9075907,-16.1349876,296.9997222,NA,Spain,Senegal,NA,0.002528545,0.999979167,NA
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,95N,181641,95N_181641,alive,active,still transmitting,NA,unknown,unknown,N,N,302,8/2/18 8:50,5/30/19 2:38,41.53552246,-3.589221716,41.48222351,-3.581470013,300.7418056,NA,Spain,Spain,NA,0.000893383,0.999998843,98.8
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,2HP,48500703772,2HP_48500703772,alive,active,still transmitting,NA,unknown,unknown,N,N,199,7/25/16 5:08,5/30/19 0:00,40.95475,-4.100033,41.132949,-6.149383,1038.786111,NA,Spain,Spain,NA,0.543128498,1.099930556,NA
Neophron percnopterus,Egyptian vultures Dagestan2,Gurman,114,Gurman_114,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,unknown,N,N,449,7/24/17 12:12,11/4/18 3:27,43.00113,47.20156,13.88479,43.77549,467.6354167,NA,Russia,Yemen,NA,0.287990286,0.998055556,NA
Neophron percnopterus,McGrady.Meyburg,52027,1,52027_1,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,ad,N,N,63,1/22/18 9:00,9/12/18 10:00,23.23667,58.42733,23.11883,58.28533,233.0416667,NA,Oman,Oman,NA,0.134440536,1.295833333,NA
Neophron percnopterus,ISPRA,AF5AF11F,NA,AF5AF11F_NA,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,unknown,N,N,25,8/16/18 8:59,9/12/18 5:00,40.6451833,16.66185,36.7739717,12.0043667,26.83435185,NA,Italy,Italy,NA,1.062955674,1,NA
Neophron percnopterus,ISPRA,B05AF11F,NA,B05AF11F_NA,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,unknown,N,N,24,8/16/18 9:30,9/8/18 6:00,40.64519,16.6618667,37.7127983,12.6724333,22.85444444,NA,Italy,Italy,NA,0.679749346,0.999971065,NA
