species,study.name,population,id,tag,id.tag,migrant,start.country,end.country,sex,age.at.deployment,age.at.deployment.clean,age.at.deployment.month,captive.raised,rehabilitated,fate,how.fate.determined.clean,cause.of.death,n.locs,start.date,end.date,start.lat,end.lat,start.long,end.long,deployment.duration,data.owner.proofed,mean.GPS.dist.last10fixes.degrees,mean.GPS.dist.last10fixes.meters,mean.GPS.fixrate.last10fixes.days,mean.battery.charge.percent.last10fixes,how.fate.determined,comments
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - eastern,Butterball,42500,Butterball_42500,Y,United States,United States,unknown,ad,adult,54,N,N,confirmed transmitter failure,resighted / recaptured,NA,147,11/5/03 15:00,4/18/04 0:00,40.6375,40.65883,-76.01933,-75.92783,164.375,y,0.016315,1813.063544,1.0125,NA,"bird recaptured and transmitter removed to put on another bird -- bird in good condition. Will classify as ""transmitter failur""",why was this bird recaptured? Would it have died in the wild?
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - eastern,Irma,52067,Irma_52067,N,United States,United States,unknown,ad,adult,54,N,N,unknown,unknown,NA,2645,9/6/04 17:00,9/23/15 14:00,40.778,40.61417,-75.28533,-75.184,4033.875,y,0.063403,7045.880922,1.129166667,NA,transmitter was 11 years old,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - eastern,Schaumboch,42500,Schaumboch_42500,Y,United States,United States,unknown,ad,adult,54,N,N,unknown,unknown,NA,431,9/14/04 14:00,5/4/06 13:00,40.83283,41.36,-75.02,-73.58166667,596.9583333,y,0.033552,3728.589437,2.191666667,NA,unknown,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - eastern,Disney,52069,Disney_52069,Y,United States,United States,unknown,ad,adult,54,N,N,unknown,unknown,NA,2487,9/19/04 21:00,10/17/11 0:00,40.3605,38.64267,-75.71683,-79.349,2583.125,y,0.023580,2620.414354,1,NA,unknown,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - central ,Sill,57952,Sill_57952,Y,Canada,United States,unknown,ad,adult,54,N,N,unknown,unknown,exploded ordinance,134,6/19/05 17:00,10/30/05 0:00,51.59016667,34.81666667,-106.398,-98.74333333,132.2916667,y,0.737397,81945.458706,1,NA,unknown,last location on army base where ordinance had exploded
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - central ,Blizzard,57953,Blizzard_57953,Y,Canada,United States,unknown,ad,adult,54,N,N,confirmed dead,transmitter recovered,collision with vehicle,107,6/22/05 16:00,10/6/05 0:00,53.03467,48.031,-106.375,-100.226,105.3333333,y,0.814354,90497.569096,1,NA,transmitter recovered,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - western,Prado,57954,Prado_57954,N,United States,United States,unknown,ad,adult,54,N,N,likely transmitter failure,inferred from transmissions,NA,1165,11/2/05 15:00,7/7/09 0:00,33.9125,33.6615,-117.6161667,-117.82783,1342.375,y,0.194294,21591.456736,5.025,NA,increasing time between fixes,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - western,Sarkis,57955,Sarkis_57955,Y,United States,Mexico,unknown,ad,adult,54,N,N,likely dead,static transmission,unknown,490,2/20/06 3:00,2/8/08 3:00,33.765,26.96567,-117.8061667,-108.593,718,y,1.803352,200402.947285,29.17083333,NA,transmission from same location over several months before ceasing,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - western,Morongo,57957,Morongo_57957,Y,United States,United States,unknown,ad,adult,54,N,N,confirmed dead,transmitter recovered,collision with vehicle,1132,3/18/06 23:00,5/26/09 2:00,34.0485,43.43183,-116.5696667,-123.31617,1164.125,y,0.000204,22.620771,1.608333333,NA,transmitter recovered,tagged on migration
Cathartes aura,Turkey Vulture Acopian Center USA GPS,north america - western,Rosalie,57956,Rosalie_57956,Y,United States,United States,unknown,ad,adult,54,N,N,unknown,unknown,NA,1453,3/19/06 0:00,3/27/10 6:00,34.05166667,44.163,-116.5726667,-123.301,1469.25,y,1.295540,143970.738338,1,NA,unknown,tagged on migration
