species,study.name,population,id,tag,id.tag,fate,fate.final,how.fate.determined.clean,cause.of.death,start.date,end.date,mortality.date,migrant,start.country,end.country,sex,age.at.deployment,age.at.deployment.clean,age.at.deployment.month,captive.raised,rehabilitated,n.locs,start.lat,end.lat,start.long,end.long,deployment.duration,data.owner.proofed,mean.GPS.dist.last10fixes.degrees,mean.GPS.dist.last10fixes.meters,mean.GPS.fixrate.last10fixes.days,mean.battery.charge.percent.last10fixes,how.fate.determined,comments
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,00 White 2013,3515,00 White 2013_3515,alive,alive,active,NA,04/04/2014 05:00,5/30/19 5:10,5/30/19 5:10,Y,Israel,Syrian Arab Republic,unknown,312,immature,11,Y,N,1764,32.752136,34.4206595,35.0134302,38.2444062,1882.007222,y,0.394036,43788.4335,0.999320602,NA,still transmitting,Age units are days
Cathartes aura,Black Vultures and Turkey Vultures Southeastern USA,north america - eastern,1,163,1_163,alive,alive,active,NA,6/26/13 14:07,8/31/15 0:00,NA,N,United States,United States,F,ad,adult,54,N,N,797,33.16381,33.25171,-81.63951,-81.72544,795.4120255,y,0.056772,6308.994377,1.000306713,NA,still transmitting,NA
Cathartes aura,Black Vultures and Turkey Vultures Southeastern USA,north america - eastern,123,178,123_178,alive,alive,active,NA,4/23/14 19:44,8/31/15 0:09,NA,N,United States,United States,M,ad,adult,54,N,N,493,33.25997,33.02271,-81.73826,-81.5056,494.1839236,y,0.0468,5200.791511,0.999747685,NA,still transmitting,NA
Neophron percnopterus,Egyptian vultures in Djibouti,horn of africa,127589,127589,127589_127589,confirmed transmitter failure,confirmed transmitter failure,resighted / recaptured,NA,03/11/2013 05:56,1/31/14 1:44,1/31/14 1:44,N,Djibouti,Djibouti,unknown,ad,adult,54,N,N,252,11.7859,12.0148,42.8239,43.2961,325.8246412,y,0.105923,11771.04037,1.097951389,NA,"intermittent fixes, bird seen in good condition","tagged in Horn of Africa. Population determination based on where they migrated to. For birds that did not migrate, left as HoA. intermittant after 4 Mar 2014, last location 7 Jun 2018. Bird seemingly alive at that time."
Cathartes aura,Black Vultures and Turkey Vultures Southeastern USA,north america - eastern,13,180,13_180,unknown,unknown,unknown,NA,6/27/13 18:49,12/20/13 0:14,NA,N,United States,United States,F,ad,adult,54,N,N,177,33.22092,32.02984,-81.5618,-81.25777,175.2253472,y,0.152142,16907.21406,1.000201389,NA,unknown,NA
Neophron percnopterus,McGrady.Meyburg,oman,139,2,139_2,likely transmitter failure,likely transmitter failure,inferred from transmissions,NA,1/23/18 12:24,12/12/2018 12:28,12/12/2018 12:28,N,Oman,Oman,unknown,ad,adult,54,N,N,296,23.522387,23.339338,58.445302,58.45815,323.0027778,y,0.099234,11027.63139,3.672847222,NA,long interval between fixes preceeding going offline,gps ceased 13 Dec 2018
Neophron percnopterus,McGrady.Meyburg,oman,143580,3,143580_3,confirmed dead,confirmed dead,carcass found,NA,01/09/2015 09:57,12/12/2015 02:02,12/12/2015 02:02,N,Oman,Oman,unknown,juv,juvenile,7,N,N,330,23.3449,23.3782,58.4553,58.6527,336.6701852,y,0.068354,7596.055314,0.997971065,NA,confirmed electrocuted,Confirmed electrocution 13 Dec 2015
Neophron percnopterus,McGrady.Meyburg,oman,143581,4,143581_4,unknown,unknown,unknown,NA,01/10/2015 07:11,02/03/2015 02:37,02/03/2015 02:37,N,Oman,Oman,unknown,juv,juvenile,7,N,N,25,23.3448,23.0327,58.455,58.6193,23.80922454,y,0.18044,20051.97522,1.009930556,NA,very few locations,abrupt loss of transmission 04 Feb 2015
Neophron percnopterus,Omanvulture,oman,16095,16095,16095_16095,alive,alive,active,NA,1/19/18 10:49,5/30/19 1:23,5/30/19 1:23,N,Oman,Oman,unknown,ad,adult,54,N,N,496,23.33503151,23.30084038,58.45743179,58.6533699,495.6069329,y,0.007178,797.633222,0.981116898,75.5,still transmitting,NA
Neophron percnopterus,Omanvulture,oman,171318,171318,171318_171318,alive,alive,active,NA,1/20/18 9:48,5/30/19 1:47,5/30/19 1:47,N,Oman,Iran (Islamic Republic of),unknown,ad,adult,54,N,N,496,23.33926582,27.21995735,58.4492836,56.18041611,494.6662847,y,0.01743,1936.97971,1.001390046,77.7,still transmitting,NA
Neophron percnopterus,McGrady.Meyburg,oman,171325,5,171325_5,alive,alive,active,NA,1/15/18 0:14,5/30/19 1:23,5/30/19 1:23,N,Oman,Oman,unknown,ad,adult,54,N,N,318,23.358963,23.457968,58.591347,58.624062,500.0477662,y,0.004121,457.9646,1.399763889,NA,still transmitting,NA
Neophron percnopterus,McGrady.Meyburg,oman,171326,6,171326_6,alive,alive,active,NA,1/22/18 0:24,5/30/19 0:01,5/30/19 0:01,N,Oman,Oman,unknown,ad,adult,54,N,N,465,23.377052,23.330379,58.313049,58.444141,492.9843634,y,0.087555,9729.822931,1.000053241,NA,still transmitting,NA
Neophron percnopterus,McGrady.Meyburg,oman,171327,7,171327_7,unknown,unknown,unknown,NA,1/18/18 0:08,6/16/18 0:02,6/16/18 0:02,N,Oman,Oman,unknown,ad,adult,54,N,N,146,23.333981,23.333454,58.459003,58.458832,148.9958218,y,0.205854,22876.18299,1.000043981,NA,unknown,Tag not performing well
Neophron percnopterus,McGrady.Meyburg,oman,171328,8,171328_8,alive,alive,active,NA,1/21/18 0:03,5/30/19 1:22,5/30/19 1:22,N,Oman,Oman,unknown,ad,adult,54,N,N,277,23.111874,23.121912,58.837193,58.852936,494.0545949,y,0.008641,960.234822,1.499603009,NA,still transmitting,NA
Neophron percnopterus,McGrady.Meyburg,oman,171329,9,171329_9,likely transmitter failure,likely transmitter failure,inferred from transmissions,NA,1/20/18 0:17,02/08/2019 02:47,02/08/2019 02:47,N,Oman,Oman,unknown,ad,adult,54,N,N,289,23.285469,23.276367,58.333851,58.332546,384.1046296,y,0.049147,5461.663269,7.223090278,NA,increasing interval between transmissions,NA
Neophron percnopterus,McGrady.Meyburg,oman,171330,10,171330_10,alive,alive,active,NA,1/19/18 11:07,5/30/19 1:23,5/30/19 1:23,N,Oman,Oman,unknown,ad,adult,54,N,N,438,23.338934,23.322981,58.449287,58.418118,495.5939005,y,0.032349,3594.833998,1.0998125,NA,still transmitting,NA
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,18 White,3516,18 White_3516,unknown,unknown,unknown,NA,4/22/14 4:00,4/27/14 4:00,4/27/14 4:00,NA,Israel,Israel,unknown,302,immature,11,Y,N,6,32.7534508,32.7645128,35.0138107,35.0122282,5,y,0.095451,10607.32985,1,NA,"Very few fixes. Last location hostile and with good GSM cover, no data for a long period",Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,19 White,3517,19 White_3517,likely dead,likely dead,inferred from transmissions,NA,4/22/14 4:00,8/27/14 4:00,8/26/14 0:00,Y,Israel,Saudi Arabia,unknown,297,juv,10,Y,N,126,32.7534673,18.1764597,35.0137975,42.0374481,127,y,0.650901,72333.28955,1,NA,Same location for 4 months,Age units are days
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,2HN,137397,2HN_137397,alive,alive,active,NA,7/20/15 14:00,5/30/19 9:00,5/30/19 9:00,Y,Spain,Spain,F,juv,juvenile,2,N,N,1353,40.46833,40.61617,-3.83983,-4.72033,1409.791667,y,0.137042,15229.16515,0.977453704,NA,still transmitting,NA
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,2HP,48500703772,2HP_48500703772,alive,alive,active,NA,7/25/16 5:08,5/30/19 0:00,5/30/19 0:00,Y,Spain,Spain,M,juv,juvenile,2,N,N,199,40.95475,41.132949,-4.100033,-6.149383,1038.786111,y,0.543128,60356.78373,1.099930556,NA,still transmitting,NA
Cathartes aura,Black Vultures and Turkey Vultures Southeastern USA,north america - eastern,3,173,3_173,alive,alive,active,NA,6/26/13 14:38,8/31/15 0:19,NA,N,United States,United States,F,ad,adult,54,N,N,797,33.1638,33.15512,-81.63956,-81.57771,795.403206,y,0.055601,6178.791811,0.999696759,NA,still transmitting,NA
Neophron percnopterus,McGrady.Meyburg,oman,47638,11,47638_11,likely dead,likely dead,inferred from transmissions,NA,1/21/18 5:00,9/28/18 1:00,8/15/18 0:00,N,Oman,Oman,unknown,ad,adult,54,N,N,251,23.33067,23.3345,58.45033,58.47683,249.8333333,y,0.007413,823.783863,1.029166667,NA,static transmissions for months,gps ceased 29 Sept 2018
Neophron percnopterus,McGrady.Meyburg,oman,52027,1,52027_1,unknown,unknown,unknown,NA,1/22/18 9:00,09/12/2018 10:00,09/12/2018 10:00,N,Oman,Oman,unknown,ad,adult,7,N,N,63,23.23667,23.11883,58.42733,58.28533,233.0416667,y,0.134441,14940.10789,1.295833333,NA,unknown,NA
Cathartes aura,Black Vultures and Turkey Vultures Southeastern USA,north america - eastern,6,171,6_171,alive,alive,active,NA,6/17/13 13:19,8/31/15 0:14,NA,N,United States,United States,M,ad,adult,54,N,N,806,33.16323,33.16438,-81.63931,-81.39533,804.4551968,y,0.09769,10856.13344,0.999496528,NA,"Transmitter active and moving by ""end date""",NA
Cathartes aura,Black Vultures and Turkey Vultures Southeastern USA,north america - eastern,60,172,60_172,alive,alive,active,NA,07/05/2013 12:52,8/31/15 0:12,NA,N,United States,United States,M,ad,adult,54,N,N,787,33.16302,33.1322,-81.64008,-81.40866,786.4719444,y,0.132077,14677.41874,0.999657407,NA,"Transmitter active and moving by ""end date""",NA
Neophron percnopterus,McGrady.Meyburg,oman,70107,12,70107_12,alive,alive,active,NA,1/13/18 2:00,5/30/19 0:00,5/30/19 0:00,N,Oman,Oman,unknown,2nd yr,immature,7,N,N,501,23.33967,22.71133,58.45383,59.0225,501.9166667,y,0.050908,5657.291111,0.995833333,NA,still transmitting,NA
Cathartes aura,Black Vultures and Turkey Vultures Southeastern USA,north america - eastern,75,176,75_176,alive,alive,active,NA,07/09/2013 15:31,8/31/15 0:22,NA,N,United States,United States,M,ad,adult,54,N,N,783,33.26114,33.38986,-81.73846,-81.84455,782.3684144,y,0.015513,1723.950445,0.998978009,NA,"Transmitter active and moving by ""end date""",NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,75657,75657,75657_75657,confirmed dead,confirmed dead,carcass found,unknown,08/10/2007 08:00,11/08/2013 06:00,11/08/2013 06:00,Y,Spain,Mauritania,F,ad,adult,54,N,N,1931,40.23383,16.93917,-0.61467,-14.44367,2281.916667,y,0.26854,29842.27195,1.025,NA,unknown,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,75658,75658,75658_75658,likely transmitter failure,likely transmitter failure,inferred from transmissions,NA,8/22/09 15:00,2/16/12 12:00,2/16/12 12:00,Y,Spain,Mali,F,juv,juvenile,3,N,N,777,40.87283,15.41567,-1.78433,-4.51267,907.875,y,0.164976,18333.45467,10.025,NA,increasing time between fixes,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,75659,75659,75659_75659,unknown,unknown,unknown,NA,7/30/09 19:00,7/26/11 12:00,7/26/11 12:00,Y,Spain,Spain,F,ad,adult,54,N,N,599,40.78217,40.8285,-2.17733,-1.86067,725.7083333,y,0.157717,17526.74099,1.425,NA,unknown,NA
Neophron percnopterus,McGrady.Meyburg,oman,80,13,80_13,likely transmitter failure,likely transmitter failure,inferred from transmissions,NA,1/21/16 12:19,10/03/2017 22:58,10/03/2017 22:58,N,Oman,Oman,unknown,juv,juvenile,7,N,N,456,23.334163,22.378585,58.4669,59.342792,621.44375,y,0.357592,39738.47511,5.148611111,NA,increasing time between fixes,gps ceased 04 Oct 2017
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,80419,80419,80419_80419,likely transmitter failure,likely dead,inferred from transmissions,NA,8/14/08 6:00,04/10/2011 14:00,04/10/2011 14:00,Y,Spain,Spain,F,ad,adult,54,N,N,842,40.8165,40.88983,-1.838,-1.76333,969.3333333,y,1.798588,199873.5214,4.666666667,NA,long time between last fixesm during which bird moved significant distance,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,80420,80420,80420_80420,likely transmitter failure,likely dead,inferred from transmissions,NA,7/29/09 7:00,8/16/13 10:00,8/16/13 10:00,Y,Spain,Spain,M,ad,adult,54,N,N,1227,40.76933,40.73983,-2.213,-2.18417,1479.125,y,0.098056,10896.72361,8.516666667,NA,increasing time between fixes,NA
Neophron percnopterus,McGrady.Meyburg,oman,81,14,81_14,likely dead,likely dead,inferred from transmissions,NA,1/19/16 10:25,2/24/16 3:09,2/15/16 0:00,N,Oman,Oman,unknown,juv,juvenile,7,N,N,37,23.339907,23.529493,58.459848,58.495088,35.69722222,y,0.009232,1025.950254,1.000277778,NA,static transmission for 7 days,possible mortality / dropped tx
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,89730,89730,89730_89730,unknown,likely dead,unknown,NA,7/30/09 0:00,5/14/13 0:00,5/14/13 0:00,Y,Spain,Spain,F,ad,adult,54,N,N,897,40.7375,40.7455,-2.4555,-2.448,1384,y,0.023614,2624.188905,3,NA,unknown,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,89731,89731,89731_89731,unknown,likely dead,unknown,NA,7/30/09 0:00,8/29/12 0:00,8/29/12 0:00,Y,Spain,Spain,M,ad,adult,54,N,N,862,40.7845,40.78617,-2.20067,-2.20033,1126,y,0.117368,13042.90766,1.8,NA,unknown,NA
Cathartes aura,Black Vultures and Turkey Vultures Southeastern USA,north america - eastern,90,166,90_166,alive,alive,active,NA,7/30/13 14:34,8/31/15 0:08,NA,N,United States,United States,M,ad,adult,54,N,N,763,33.16219,32.53167,-81.64264,-81.15254,761.3988194,y,0.054212,6024.462246,1.00159375,NA,"Transmitter active and moving by ""end date""",NA
Cathartes aura,Black Vultures and Turkey Vultures Southeastern USA,north america - eastern,91,179,91_179,alive,alive,active,NA,7/31/13 15:52,8/31/15 0:19,NA,N,United States,United States,M,ad,adult,54,N,N,762,33.16277,33.20603,-81.64166,-81.2645,760.3518866,y,0.196686,21857.29347,1.000430556,NA,"Transmitter active and moving by ""end date""",NA
Neophron percnopterus,McGrady.Meyburg,oman,95784,15,95784_15,alive,alive,active,NA,1/20/18 12:00,5/25/19 9:00,5/25/19 9:00,N,Oman,Oman,unknown,ad,adult,54,N,N,451,23.33417,23.34517,58.46533,58.46333,489.875,y,0.154288,17145.70997,1.141666667,NA,still transmitting,Tag not performing well
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,95N,181641,95N_181641,alive,alive,active,NA,08/02/2018 08:50,5/30/19 2:38,5/30/19 2:38,Y,Spain,Spain,M,ad,adult,54,N,N,302,41.53552246,41.48222351,-3.589221716,-3.581470013,300.7418056,y,0.000893,99.279866,0.999998843,98.8,still transmitting,NA
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,95P,6471,95P_6471,alive,alive,active,NA,08/06/2018 05:00,5/30/19 5:00,5/30/19 5:00,Y,Spain,Senegal,M,juv,juvenile,3,N,N,294,41.2050675,14.9075907,-4.8270731,-16.1349876,296.9997222,y,0.002529,280.992149,0.999979167,NA,still transmitting,NA
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,95R,5019,95R_5019,likely dead,likely dead,inferred from transmissions,NA,7/26/16 5:00,1/13/18 17:00,08/01/2017 00:00,Y,Spain,Mauritania,M,juv,juvenile,2,N,N,444,42.330439,15.5335782,-7.2841079,-8.0311031,536.4996065,y,0.019178,2131.262347,2.2930625,NA,static transmissions for months,"suspected mortality, same location for a long time"
