species,study.name,population,migrant,id,start.date,end.date,tag,id.tag,fate,fate.final,end.country,end.lat,end.long,how.fate.determined.clean,cause.of.death,mortality.date,start.country,sex,age.at.deployment,age.at.deployment.clean,age.at.deployment.month,captive.raised,rehabilitated,n.locs,start.lat,start.long,deployment.duration,data.owner.proofed,mean.GPS.dist.last10fixes.degrees,mean.GPS.dist.last10fixes.meters,mean.GPS.fixrate.last10fixes.days,mean.battery.charge.percent.last10fixes,how.fate.determined,comments
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,Y,Guipuzcoa 01-Zuri-5533,7/17/17 8:15,11/27/17 4:00,5533,Guipuzcoa 01-Zuri-5533_5533,confirmed dead,confirmed dead,Mauritania,16.30394,-13.21682,transmitter recovered,unknown,11/27/17 4:00,Spain,F,juv,juvenile,1,N,N,134,43.16938,-2.123876,132.8231019,y,0.630630037,,1,NA,"11-28-2017 it begins to appear apparently static 2 km north of Djivol in Mauritania. 12-12-2017 remains of the bird and trasnmiter are found by a local head of the area, notified by Mané. We recovered the device. Cause of death unknown",NA
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,Y,Guipuzcoa 02-Endoia-5534,7/17/17 13:25,9/7/17 4:00,5534,Guipuzcoa 02-Endoia-5534_5534,likely transmitter failure,likely transmitter failure,Spain,36.33941,-5.968527,inferred from transmissions,NA,9/7/17 4:00,Spain,M,juv,juvenile,1,N,N,53,43.19792,-2.277571,51.60783565,y,1.770895613,,1.331549769,NA,long time between last fixesm during which bird moved significant distance,NA
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,Y,Guipuzcoa 03 - Ekhi - 5533,7/19/18 16:04,5/30/19 4:00,5533,Guipuzcoa 03 - Ekhi - 5533_5533,alive,alive,Mauritania,16.89298,-12.39253,active,NA,5/30/19 4:00,Spain,unknown,juv,juvenile,1,N,N,311,42.96061,-2.360367,314.4972222,y,0.335790011,,0.998859954,NA,still transmitting,NA
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,Y,La Rioja 01-Brieva-4404,7/20/16 8:45,3/31/17 11:45,4404,La Rioja 01-Brieva-4404_4404,unknown,unknown,Mauritania,16.96502,-11.03883,unknown,NA,3/31/17 11:45,Spain,M,juv,juvenile,1,N,N,209,42.16987,-2.769862,254.1249653,y,0.216194146,,2.641667824,NA,transmitter ceased abruptly while bird was moving,NA
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,Y,La Rioja 02-Quel-4405,7/20/16 8:45,1/1/18 6:31,4405,La Rioja 02-Quel-4405_4405,unknown,unknown,Mauritania,17.2961,-14.94369,unknown,NA,1/1/18 6:31,Spain,M,juv,juvenile,1,N,N,459,42.16989,-2.769875,529.9072569,y,0.030364907,,0.987541667,NA,transmitter ceased abruptly while bird was moving,little movement for last 6 months
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,Y,La Rioja 03 - Lidia -REKI38,7/20/18 6:00,5/30/19 6:00,48797732417,La Rioja 03 - Lidia -REKI38_48797732417,alive,alive,Senegal,14.99103,-15.7048,active,NA,5/30/19 6:00,Spain,unknown,juv,juvenile,1,N,N,305,42.88157,-2.632999,314,y,0.004405088,,1,NA,still active,NA
Neophron percnopterus,Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO,western europe,Y,BatuecasA,6/15/17 14:48,5/30/19 4:56,17020,BatuecasA_17020,alive,alive,Spain,41.06195831,-6.769111633,active,NA,5/30/19 4:56,Spain,M,3rd yr,immature,24,N,N,715,41.05353546,-6.663703442,713.5889468,y,0.003409,378.870802,0.999137731,91.4,still transmitting,NA
Neophron percnopterus,Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO,western europe,Y,Camaces,7/31/17 12:29,9/11/17 2:12,17017,Camaces_17017,unknown,unknown,Morocco,34.08429718,-5.792381763,unknown,NA,9/11/17 2:12,Spain,F,juv,juvenile,1,N,N,26,41.00911331,-6.743571758,41.57116898,y,1.175786,130662.7836,0.997916667,100,unknown,The animal was in a very bad body condition when it was marked. Surely this prevented him from surviving the conditions of the migratory trip when crossing the desert. The team responsible for marking has always ruled out any relationship with that power line.
Neophron percnopterus,Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO,western europe,Y,Huebra,6/15/17 14:57,4/16/19 4:48,17021,Huebra_17021,confirmed transmitter failure,confirmed transmitter failure,Spain,41.02622986,-6.678959846,resighted / recaptured,NA,4/16/19 4:48,Spain,M,3rd yr,immature,24,N,N,655,41.05710983,-6.660486698,669.5768056,y,0.016093,1788.330118,1.397221065,68.9,resighted?,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Agri,6/22/13 1:00,7/19/14 14:00,130662,Agri_130662,unknown,likely transmitter failure,Turkey,39.7845,43.24833,unknown,NA,7/19/14 14:00,Turkey,unknown,ad,adult,54,N,N,324,40.08083,43.667,392.5416667,y,0.02539,2821.57437,3.523266204,NA,unknown,NA
