Serial,id.tag,species,study.name,population,id,tag,start.date,end.date,mortality.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,age.at.deployment.months,sex,migrant,captive.raised,rehabilitated,how.fate.determined,cause.of.death,transmitter.make.model,transmitter.attachment.method,transmitter.mass.grams,comments,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,start.country.quant,end.country.quant,n.locs,origin,deployment.duration.months,age.at.fate.months,age.at.fate.simple,population.binned,fate.binned,fate.at.annual.stage
1,00 White 2013_3515,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,00 White 2013,3515,04-04-14,5/29/19,5/30/19 5:10,32.75214,35.01343,34.4060907,38.2296871,Israel,Sudan,2023.312407,confirmed transmitter failure,11,unknown,Y,Y,N,resighted / recaptured,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,"Transmitter fell, seen alive June 2020",0.928608666,2.00000463,Israel,Syrian Arab Republic,1850,Y,61,72,adult,Middle East,tx failure,non-breeding
2,18 White_3516,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,18 White,3516,4/22/14,4/26/14,4/27/14 4:00,32.75345,35.01381,32.7702775,34.9914223,Israel,Israel,5,unknown,11,unknown,Y,Y,N,unknown,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,NA,0.020109449,1,Israel,Israel,5,Y,0,11,juvenile,Middle East,unknown,breeding
3,19 White_3517,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,19 White,3517,4/22/14,8/25/14,8/26/14 0:00,32.75347,35.0138,19.5421079,41.3889553,Israel,Saudi Arabia,127,likely dead,10,unknown,Y,Y,N,inferred from transmissions,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,NA,0.620276005,1,Israel,Saudi Arabia,124,Y,4,14,juvenile,Middle East,dead,fall migration
4,A02 Green 2013_3514,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A02 Green 2013,3514,04-04-14,4/23/17,4/24/17 5:00,32.7520933,35.0134463,33.2331372,35.5365667,Israel,Israel,1116,unknown,10,unknown,Y,Y,N,unknown,NA,"e-obs, Bird Solar GPS-GSM, 48g",backpack,48,NA,0.963723177,1,Israel,Lebanon,1107,Y,36,46,adult,Middle East,unknown,breeding
5,A17 Green_17113,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A17 Green,17113,4/16/17,07-03-17,07-04-17 0:06,32.55932,34.93855,32.55893326,34.93917465,Israel,Israel,79.00068287,confirmed dead,23,unknown,Y,Y,N,transmitter recovered,Hit a train when feeding on a dead boer,Ornitela OT-30,legloop,30,NA,0.000557883,1.000002315,Israel,Israel,79,Y,2,25,adult,Middle East,dead,breeding
6,A25 Green_171087,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A25 Green,171087,12/13/17,4/21/18,4/22/18 2:37,32.7523,35.01339,32.75220108,35.0137291,Israel,Israel,130.1057292,unknown,21,unknown,Y,Y,N,unknown,NA,Ornitela OT-30,legloop,30,NA,0.002168162,0.999170139,Israel,Israel,130,Y,4,25,adult,Middle East,unknown,breeding
7,A46 Green_17112,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A46 Green,17112,4/16/17,05-10-18,05-11-18 1:40,32.55895,34.9392,37.73613739,41.32781982,Israel,Turkey,390.0661458,confirmed dead,24,unknown,Y,Y,N,transmitter recovered,Electrocuted,Ornitela OT-30,legloop,30,NA,0.48546366,0.998334491,Israel,Turkey,390,Y,12,36,adult,Middle East,dead,breeding
8,A47 Green_171082,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,A47 Green,171082,12/13/17,8/23/18,8/24/18 2:32,32.75226,35.01337,12.97405624,43.71961975,Israel,Yemen,253.9352546,unknown,7,unknown,Y,Y,N,unknown,NA,Ornitela OT-30,legloop,30,NA,1.015137198,1.000331019,Israel,Yemen,254,Y,8,15,juvenile,Middle East,unknown,fall migration
9,Agata_119157,Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Agata,119157,8/26/15,8/29/15,8/30/15 0:00,37.39733,13.36967,37.84917,12.596,Italy,Italy,8,confirmed dead,3,F,Y,Y,N,terminated over water,Drop in the sea,Microwave Solar Argos/GPS PTT,backpack,NA,NA,0.491562866,1,Italy,Italy,4,Y,0,3,juvenile,Balkans & Italy,dead,fall migration
10,Agri_130662,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Agri,130662,6/22/13,7/15/14,7/19/14 14:00,40.08083,43.667,39.78467,43.24817,Turkey,Turkey,388.875,likely transmitter failure,54,unknown,Y,N,N,unknown,NA,Microwave 45g Argos/GPS Solar PTTs,backpack,45,NA,0.00013069,3.458333333,Turkey,Turkey,322,N,12,66,adult,Middle East,tx failure,breeding
